experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,3.5174,92.3641,147.1218,-0.0062,345
mmr_smr,15.7013,91.5771,145.8682,-0.0047,390
mmr_smr,28.7667,92.9945,148.1259,-0.004,300
mmr_smr,40.5757,94.1044,149.8938,-0.0029,360
mmr_smr,52.508,94.9011,151.1629,-0.002,405
mmr_smr,65.5725,94.5449,150.5954,-0.0017,345
mmr_smr,77.3761,94.9906,151.3054,-0.0023,345
mmr_smr,90.316,94.6293,150.7299,-0.0021,360
mmr_smr,102.1205,94.9799,151.2884,-0.002,330
mmr_smr,114.5556,94.7975,150.9977,-0.0018,405
mmr_smr,127.118,94.696,150.8362,-0.0023,375
mmr_smr,139.1747,94.9238,151.199,-0.002,375
mmr_smr,151.7384,94.7883,150.9831,-0.002,345
mmr_smr,164.0457,94.8838,151.1353,-0.002,405
mmr_smr,176.7346,94.6288,150.7291,-0.0019,390
mmr_smr,188.5423,94.8082,151.0149,-0.0019,420
mmr_smr,200.7272,94.0614,149.8253,-0.0026,405
mmr_smr,213.2873,94.5401,150.5878,-0.0021,375
mmr_smr,225.2199,93.8613,149.5065,-0.0026,390
mmr_smr,237.7818,94.7623,150.9418,-0.0017,330
mmr_smr,250.8481,94.2896,150.1888,-0.0023,390
mmr_smr,262.6576,94.6265,150.7254,-0.0021,360
mmr_smr,274.9667,94.4175,150.3926,-0.002,390
mmr_smr,287.7788,94.2454,150.1184,-0.0021,390
mmr_smr,299.7113,94.5084,150.5373,-0.002,375
mmr_smr,311.6479,94.7947,150.9933,-0.002,360
mmr_smr,324.709,94.412,150.3838,-0.0021,360
mmr_smr,336.6442,94.7023,150.8461,-0.002,345
mmr_smr,348.9546,94.5465,150.5979,-0.0016,435
mmr_smr,361.2638,94.7949,150.9937,-0.0018,345
mmr_smr,373.824,94.3655,150.3096,-0.0019,375
mmr_smr,386.2611,94.3587,150.2988,-0.0021,360
mmr_smr,398.4432,94.3237,150.2431,-0.002,405
mmr_smr,410.5024,94.5783,150.6486,-0.0019,315
mmr_smr,423.1875,94.2807,150.1746,-0.0019,360
mmr_smr,435.497,94.2604,150.1422,-0.002,420
mmr_smr,447.8076,94.4625,150.4642,-0.0018,360
mmr_smr,459.9913,94.4821,150.4954,-0.0016,375
mmr_smr,472.4224,94.4608,150.4615,-0.0016,390
mmr_smr,484.6068,94.5067,150.5346,-0.0018,405
mmr_smr,496.916,94.4439,150.4345,-0.0014,375
mmr_smr,509.6013,94.2243,150.0848,-0.0016,390
mmr_smr,521.534,94.4978,150.5205,-0.0017,375
mmr_smr,534.0942,94.5674,150.6313,-0.0018,345
mmr_smr,546.0285,94.7235,150.88,-0.0016,360
mmr_smr,558.2094,94.7583,150.9354,-0.0019,345
mmr_smr,570.8982,94.4692,150.4749,-0.0018,420
mmr_smr,583.3319,94.4024,150.3685,-0.0019,345
mmr_smr,596.1407,94.4548,150.4519,-0.0016,375
mmr_smr,608.2,94.5179,150.5524,-0.0017,435
mmr_smr,620.2609,94.5398,150.5874,-0.0016,435
mmr_smr,632.5717,94.7147,150.866,-0.0015,345
mmr_smr,645.2558,94.8536,151.0871,-0.0017,390
mmr_smr,657.8182,94.6072,150.6946,-0.0019,330
mmr_smr,669.75,94.6685,150.7923,-0.0015,435
mmr_smr,681.4333,94.9077,151.1734,-0.0016,360
mmr_smr,694.243,94.8077,151.0141,-0.0017,360
mmr_smr,706.9291,94.6586,150.7766,-0.0016,405
mmr_smr,718.6113,94.8647,151.1048,-0.0015,420
mmr_smr,731.3,94.6936,150.8323,-0.0016,375
mmr_smr,743.1068,95,151.3203,-0.0015,405
mmr_smr,755.5411,94.7835,150.9756,-0.0014,420
mmr_smr,768.6053,94.4706,150.4771,-0.0016,420
mmr_smr,780.7899,94.8015,151.0042,-0.0015,345
