experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,14.3138,94.9791,151.0391,-0.0055,345
mmr_smr,26.6232,94.9727,151.029,-0.0055,345
mmr_smr,38.929,94.9777,151.0369,-0.0049,345
mmr_smr,51.6142,94.3987,150.1161,-0.0052,300
mmr_smr,63.672,94.6523,150.5194,-0.0049,330
mmr_smr,76.1063,94.4525,150.2017,-0.0045,315
mmr_smr,88.7975,94.4326,150.1702,-0.0041,300
mmr_smr,100.6038,95.272,151.505,-0.0039,330
mmr_smr,113.0397,95.4412,151.7741,-0.0036,315
mmr_smr,125.3471,95.8853,152.4802,-0.0027,345
mmr_smr,199.3318,96.1622,152.9206,-0.0025,330
mmr_smr,211.2652,96.5265,153.4998,-0.0024,345
mmr_smr,223.8254,96.4813,153.4279,-0.0022,345
mmr_smr,236.387,96.4353,153.3549,-0.0023,345
mmr_smr,248.4435,96.5333,153.5108,-0.0022,345
mmr_smr,261.0056,96.4782,153.4231,-0.0022,315
mmr_smr,273.0652,96.5487,153.5352,-0.0019,345
mmr_smr,285.6268,96.4693,153.4089,-0.0022,345
mmr_smr,297.8111,96.429,153.3448,-0.0022,360
mmr_smr,310.2413,96.4096,153.314,-0.0022,345
mmr_smr,322.9288,96.296,153.1334,-0.0023,330
mmr_smr,334.8603,96.7902,153.9193,-0.0021,315
mmr_smr,347.171,96.7916,153.9215,-0.002,345
mmr_smr,359.6048,96.9415,154.1598,-0.0019,360
mmr_smr,371.9136,96.8454,154.007,-0.002,330
mmr_smr,384.6007,96.575,153.5771,-0.0022,345
mmr_smr,396.4087,97.1921,154.5583,-0.0021,315
mmr_smr,409.0985,97.0346,154.3079,-0.002,330
mmr_smr,421.0293,97.2728,154.6867,-0.0021,375
mmr_smr,433.59,97.1903,154.5555,-0.002,375
mmr_smr,445.6487,97.4777,155.0126,-0.0016,375
mmr_smr,458.0833,97.4921,155.0354,-0.002,390
mmr_smr,532.571,96.156,152.9108,-0.0021,345
mmr_smr,544.2521,96.8177,153.963,-0.0019,360
mmr_smr,556.8125,96.766,153.8807,-0.0021,360
mmr_smr,568.9953,96.8843,154.0688,-0.0017,375
mmr_smr,581.563,96.858,154.0271,-0.0018,345
mmr_smr,593.6254,96.9937,154.2429,-0.0019,345
mmr_smr,606.1864,96.9643,154.196,-0.0019,405
mmr_smr,618.6215,96.948,154.1702,-0.0018,360
mmr_smr,630.9318,96.9137,154.1157,-0.002,330
mmr_smr,643.1137,97.1762,154.5331,-0.0017,345
mmr_smr,655.2993,97.139,154.4739,-0.002,330
mmr_smr,668.3625,96.9714,154.2074,-0.002,300
mmr_smr,680.5442,97.1509,154.4929,-0.0018,345
mmr_smr,692.981,97.1342,154.4663,-0.0018,330
mmr_smr,705.0349,97.4175,154.9168,-0.0016,330
mmr_smr,716.969,97.678,155.3311,-0.0017,315
mmr_smr,729.7794,97.3652,154.8337,-0.0016,375
mmr_smr,741.7124,97.7216,155.4003,-0.0017,360
mmr_smr,754.7781,97.3543,154.8163,-0.0015,330
mmr_smr,766.5841,97.7129,155.3865,-0.0016,330
mmr_smr,778.6423,97.4944,155.0391,-0.0019,390
mmr_smr,790.9512,97.6702,155.3187,-0.0017,390
mmr_smr,865.3061,96.8827,154.0663,-0.0016,330
mmr_smr,877.9929,96.9203,154.1261,-0.0017,315
mmr_smr,890.1771,96.8185,153.9642,-0.0018,360
mmr_smr,902.1094,97.2795,154.6973,-0.0018,345
mmr_smr,914.4182,97.1544,154.4984,-0.0017,345
mmr_smr,926.9775,96.981,154.2226,-0.0018,345
mmr_smr,939.29,96.9322,154.1451,-0.0016,375
mmr_smr,951.7229,97.1034,154.4173,-0.0017,360
mmr_smr,963.9087,97.2826,154.7022,-0.0017,345
mmr_smr,976.3458,97.4319,154.9397,-0.0016,360
mmr_smr,988.6556,97.1802,154.5395,-0.0015,360
mmr_smr,1000.7152,97.2222,154.6063,-0.002,360
mmr_smr,1013.2757,97.1312,154.4616,-0.0016,360
mmr_smr,1025.584,97.336,154.7872,-0.0015,390
mmr_smr,1037.8959,97.2866,154.7086,-0.0015,300
mmr_smr,1050.3268,97.3204,154.7624,-0.0017,345
mmr_smr,1062.7667,97.2555,154.6592,-0.0014,390
mmr_smr,1074.954,97.0951,154.4041,-0.0019,375
mmr_smr,1087.6367,97.0589,154.3465,-0.002,300
mmr_smr,1099.6886,97.1246,154.4509,-0.002,330
mmr_smr,1111.622,97.4742,155.007,-0.0014,375
mmr_smr,1198.1641,97.1693,154.5221,-0.0014,390
mmr_smr,1210.4758,97.1711,154.5249,-0.0016,330
mmr_smr,1222.9148,97.2827,154.7024,-0.0016,405
mmr_smr,1235.4753,97.2068,154.5817,-0.0016,345
mmr_smr,1247.2858,97.4737,155.0062,-0.0014,405
mmr_smr,1259.8469,97.5411,155.1133,-0.0016,405
mmr_smr,1272.663,97.4436,154.9583,-0.0015,345
mmr_smr,1284.3458,97.7869,155.5042,-0.0015,360
pcrit,1297.2818,97.2249,154.4578,-0.0015,315
pcrit,1302.5587,94.7001,150.4466,-0.0017,315
pcrit,1307.8349,92.0315,146.2072,-0.0016,315
pcrit,1313.1095,89.5436,142.2547,-0.0017,315
pcrit,1318.3841,87.0775,138.3369,-0.0014,315
pcrit,1323.6594,84.8586,134.8118,-0.0014,315
pcrit,1328.934,82.5535,131.1497,-0.0014,315
pcrit,1334.2079,80.2792,127.5368,-0.0015,315
pcrit,1339.4825,77.9202,123.789,-0.0018,315
pcrit,1344.758,75.4524,119.8685,-0.0014,315
pcrit,1350.0357,73.2111,116.3079,-0.0016,315
pcrit,1355.3088,71.0018,112.798,-0.0015,315
pcrit,1360.5858,68.624,109.0205,-0.0014,315
pcrit,1365.8587,66.4687,105.5965,-0.0013,315
pcrit,1371.1365,64.3707,102.2634,-0.0015,315
pcrit,1376.4102,61.9738,98.4556,-0.0015,315
pcrit,1381.688,59.6401,94.7481,-0.0014,315
pcrit,1386.9611,57.5045,91.3554,-0.0013,315
pcrit,1392.2381,55.2996,87.8524,-0.0013,315
pcrit,1397.5096,53.1593,84.4522,-0.0013,315
pcrit,1402.7857,51.0937,81.1707,-0.0013,315
pcrit,1408.0612,48.9645,77.7881,-0.0016,315
pcrit,1413.3374,46.6842,74.1655,-0.0014,315
pcrit,1418.6095,44.5835,70.8282,-0.0013,315
pcrit,1423.8849,42.525,67.558,-0.0014,315
pcrit,1429.161,40.3831,64.1552,-0.0013,315
pcrit,1434.438,38.3529,60.9298,-0.0011,315
pcrit,1439.7127,36.2711,57.6226,-0.0013,315
pcrit,1444.9896,34.2608,54.4289,-0.0013,315
pcrit,1450.2604,32.2405,51.2193,-0.0013,315
pcrit,1455.5373,30.0852,47.7953,-0.0015,315
pcrit,1460.8088,28.0949,44.6333,-0.0012,315
pcrit,1466.0827,26.1141,41.4865,-0.0013,315
pcrit,1471.3579,24.2409,38.5107,-0.0012,315
pcrit,1476.6309,22.279,35.3939,-0.0012,315
pcrit,1481.9079,20.5435,32.6367,-0.0012,315
pcrit,1487.1848,18.6995,29.7073,-0.0011,315
pcrit,1492.4611,16.9604,26.9444,-0.0011,315
pcrit,1497.7396,15.2679,24.2556,-0.001,315
pcrit,1503.0135,13.6844,21.7399,-0.001,315
pcrit,1508.2913,12.1138,19.2447,-0.0012,315
pcrit,1513.5644,10.4813,16.6513,-0.0011,315
pcrit,1518.8398,8.9309,14.1882,-0.0009,315
pcrit,1524.1151,7.5214,11.9489,-0.0008,315
pcrit,1529.3921,6.3451,10.0803,-0.0007,315
pcrit,1534.6737,5.3371,8.4788,-0.0007,315
pcrit,1539.9515,4.4783,7.1145,-0.0005,315
pcrit,1545.227,3.6872,5.8578,-0.0004,315
pcrit,1549.8771,3.1843,5.0587,-0.0002,240
