experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,3.5193,90.9401,145.7595,-0.0114,375
mmr_smr,16.203,90.8313,145.585,-0.0074,330
mmr_smr,28.6381,92.6341,148.4746,-0.0064,315
mmr_smr,40.6964,90.9871,145.8348,-0.0083,345
mmr_smr,53.2572,91.8905,147.2827,-0.0068,345
mmr_smr,65.6879,91.1124,146.0356,-0.0071,330
mmr_smr,77.8732,90.3258,144.7748,-0.0079,345
mmr_smr,90.3083,90.6719,145.3295,-0.0083,300
mmr_smr,102.8708,91.6066,146.8276,-0.0065,300
mmr_smr,114.9303,92.3123,147.9588,-0.0059,330
mmr_smr,126.9868,92.7686,148.6902,-0.0047,360
mmr_smr,139.4232,92.944,148.9713,-0.0048,345
mmr_smr,151.7304,91.8106,147.1546,-0.0054,345
mmr_smr,164.43,92.1935,147.7683,-0.0055,300
mmr_smr,176.4864,92.9449,148.9727,-0.0043,330
mmr_smr,189.0424,94.7634,151.8874,-0.0032,330
mmr_smr,201.1038,95.0518,152.3497,-0.003,330
mmr_smr,213.5421,95.1651,152.5312,-0.0033,315
mmr_smr,225.8478,95.3247,152.7871,-0.0028,345
mmr_smr,238.034,94.5087,151.4792,-0.0034,360
mmr_smr,250.3431,95.4386,152.9696,-0.0029,360
mmr_smr,263.0278,95.5835,153.2019,-0.0037,315
mmr_smr,274.836,95.9454,153.782,-0.0029,375
mmr_smr,287.5215,95.6531,153.3135,-0.0031,360
mmr_smr,299.454,95.1556,152.516,-0.0033,375
mmr_smr,312.3908,95.3972,152.9033,-0.003,300
mmr_smr,324.1993,94.7563,151.876,-0.0034,360
mmr_smr,337.1357,95.276,152.7091,-0.003,315
mmr_smr,349.5717,95.0439,152.3371,-0.0029,300
mmr_smr,361.7558,95.2748,152.7072,-0.0028,345
mmr_smr,374.0631,95.4202,152.9402,-0.0027,345
mmr_smr,386.2493,95.4624,153.0078,-0.0027,360
mmr_smr,398.6825,95.4222,152.9433,-0.0027,315
mmr_smr,410.8674,95.4818,153.0389,-0.0026,330
mmr_smr,423.1773,95.0857,152.404,-0.0027,330
mmr_smr,435.6109,95.2471,152.6627,-0.0026,345
mmr_smr,447.7985,93.9322,150.5552,-0.0036,330
mmr_smr,460.229,95.0602,152.3632,-0.0025,345
mmr_smr,473.0428,95.0886,152.4087,-0.0028,315
mmr_smr,484.9743,95.1197,152.4586,-0.0024,360
mmr_smr,497.5333,94.82,151.9781,-0.0034,300
mmr_smr,509.4674,95.5827,153.2007,-0.0025,345
mmr_smr,521.7761,95.5603,153.1647,-0.0026,345
mmr_smr,534.3365,95.3061,152.7572,-0.0028,315
mmr_smr,546.3971,95.5055,153.0769,-0.0025,345
mmr_smr,559.2105,94.8272,151.9896,-0.0042,285
mmr_smr,571.2696,94.9762,152.2285,-0.0025,345
mmr_smr,583.8286,95.0607,152.364,-0.0028,315
mmr_smr,596.1397,95.0937,152.4168,-0.0029,315
mmr_smr,608.5736,95.3383,152.8088,-0.0027,360
mmr_smr,621.0087,96.374,154.4688,-0.0027,315
mmr_smr,632.9409,96.9118,155.3309,-0.0025,330
mmr_smr,645.3762,96.5472,154.7465,-0.0033,315
mmr_smr,657.6865,96.6539,154.9176,-0.0028,315
mmr_smr,669.9952,96.9206,155.3451,-0.0027,315
mmr_smr,682.3063,96.768,155.1004,-0.0027,315
mmr_smr,694.4856,97.127,155.6758,-0.0025,330
mmr_smr,706.9239,96.9149,155.3359,-0.0026,315
mmr_smr,719.3575,96.7261,155.0332,-0.0031,300
mmr_smr,731.7945,96.5196,154.7023,-0.0029,315
mmr_smr,744.2291,96.4742,154.6295,-0.0027,300
mmr_smr,756.2869,96.9782,155.4373,-0.0025,360
mmr_smr,768.723,96.7809,155.121,-0.0029,315
mmr_smr,781.0294,96.1471,154.1052,-0.0037,315
mmr_smr,792.9604,94.4476,151.3813,-0.003,360
