experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,3.7741,86.6425,138.8713,-0.012,405
mmr_smr,16.9632,86.2204,138.1946,-0.0106,360
mmr_smr,30.0201,89.9266,144.1349,-0.0071,360
mmr_smr,42.8327,91.5916,146.8037,-0.0056,390
mmr_smr,55.8987,92.1058,147.6278,-0.0051,390
mmr_smr,68.9609,92.2886,147.9208,-0.0047,390
mmr_smr,82.4022,91.9243,147.3369,-0.0054,345
mmr_smr,95.0869,93.1085,149.2349,-0.0045,420
mmr_smr,108.0228,93.4108,149.7194,-0.0038,405
mmr_smr,120.9577,93.5304,149.9111,-0.0041,420
mmr_smr,133.6437,94.124,150.8626,-0.0034,435
mmr_smr,147.084,93.2792,149.5086,-0.0044,360
mmr_smr,160.272,93.5988,150.0208,-0.0036,375
mmr_smr,172.8339,93.6031,150.0277,-0.0039,405
mmr_smr,186.0237,93.9959,150.6573,-0.0035,390
mmr_smr,198.8365,94.1951,150.9765,-0.0035,390
mmr_smr,212.1521,94.1049,150.832,-0.0034,360
mmr_smr,224.9639,94.2632,151.0857,-0.0033,360
mmr_smr,238.2782,94.1415,150.8906,-0.0033,390
mmr_smr,250.5868,94.9062,152.1163,-0.0031,360
mmr_smr,264.6561,93.712,150.2022,-0.0035,330
mmr_smr,277.2181,94.0163,150.6899,-0.0034,360
mmr_smr,290.2826,93.8374,150.4032,-0.0034,330
mmr_smr,302.7173,94.1454,150.8969,-0.0036,375
mmr_smr,316.1562,94.3299,151.1926,-0.0033,360
mmr_smr,329.4712,94.3028,151.1492,-0.0031,330
mmr_smr,342.1587,94.3988,151.303,-0.0034,345
mmr_smr,355.3458,94.2029,150.9891,-0.0033,360
mmr_smr,368.4076,94.172,150.9395,-0.0032,360
mmr_smr,380.8445,94.1072,150.8357,-0.0033,405
mmr_smr,394.1586,94.4371,151.3645,-0.0032,375
mmr_smr,407.3465,94.0282,150.709,-0.0033,360
mmr_smr,420.1583,94.302,151.1479,-0.0032,360
mmr_smr,433.3457,94.2633,151.0858,-0.003,345
mmr_smr,446.1595,94.4897,151.4487,-0.0033,315
mmr_smr,459.0965,94.372,151.2601,-0.003,360
mmr_smr,471.7847,94.7281,151.8308,-0.0029,375
mmr_smr,485.102,94.5374,151.5252,-0.0028,375
mmr_smr,498.041,94.489,151.4477,-0.0029,390
mmr_smr,510.9784,94.5898,151.6091,-0.0028,405
