experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,3.3896,92.0416,146.8018,-0.0121,360
mmr_smr,16.8262,90.1102,143.7213,-0.0111,315
mmr_smr,29.2636,90.2623,143.9639,-0.0094,330
mmr_smr,41.822,90.3204,144.0565,-0.0089,330
mmr_smr,54.1341,91.3779,145.7431,-0.0075,330
mmr_smr,66.4485,92.3174,147.2416,-0.0065,330
mmr_smr,78.5083,93.1776,148.6136,-0.0058,360
mmr_smr,91.07,93.9579,149.8581,-0.0049,300
mmr_smr,103.1306,95.9075,152.9677,-0.0035,360
mmr_smr,115.8138,95.4401,152.2222,-0.0042,345
mmr_smr,127.8732,95.6173,152.5049,-0.0039,345
mmr_smr,140.3076,94.9461,151.4342,-0.0046,330
mmr_smr,152.6174,92.7302,147.9,-0.0071,330
mmr_smr,165.1795,93.7307,149.4957,-0.0053,330
mmr_smr,177.4856,94.9289,151.4069,-0.0042,330
mmr_smr,189.6746,94.5048,150.7304,-0.0046,345
mmr_smr,202.1099,93.9987,149.9232,-0.005,330
mmr_smr,214.1667,95.1546,151.7669,-0.0042,360
mmr_smr,226.4771,95.5684,152.4268,-0.0037,360
mmr_smr,238.9131,95.1518,151.7624,-0.004,345
mmr_smr,251.1,95.8033,152.8014,-0.0035,360
mmr_smr,263.4064,95.092,151.667,-0.0035,390
mmr_smr,275.7146,95.7547,152.7239,-0.0033,360
mmr_smr,288.4022,95.585,152.4534,-0.0034,345
mmr_smr,300.8341,94.3623,150.5031,-0.0045,330
mmr_smr,313.0188,94.583,150.8551,-0.0037,345
mmr_smr,325.3275,94.3826,150.5355,-0.0044,345
mmr_smr,337.642,95.2003,151.8398,-0.0033,345
mmr_smr,349.825,94.8603,151.2974,-0.0033,360
mmr_smr,362.0087,95.3888,152.1404,-0.0031,375
mmr_smr,374.8191,94.8485,151.2787,-0.0039,315
mmr_smr,386.8768,95.6659,152.5823,-0.0029,345
mmr_smr,399.3125,95.2035,151.8448,-0.0034,360
