Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-09-12 16:26:05.1, 97.58514, 1.68832, 200, 100.4392
2018-09-12 16:26:20.1, 97.59247, 1.6883, 200, 100.4409
2018-09-12 16:26:35.2, 97.60016, 1.688278, 200, 100.4397
2018-09-12 16:26:50.3, 97.68127, 1.688056, 200, 100.4434
2018-09-12 16:27:05.4, 98.25452, 1.686488, 200, 100.439
2018-09-12 16:27:20.4, 97.69781, 1.688011, 200, 100.4373
2018-09-12 16:27:35.5, 97.64252, 1.688162, 200, 100.4395
2018-09-12 16:27:50.6, 97.18945, 1.689404, 200, 100.4429
2018-09-12 16:28:05.7, 96.66278, 1.69085, 200, 100.4448
2018-09-12 16:28:20.7, 95.6687, 1.693585, 200, 100.4409
2018-09-12 16:28:35.8, 95.5033, 1.694041, 200, 100.4382
2018-09-12 16:28:50.9, 94.48047, 1.696867, 200, 100.4436
2018-09-12 16:29:06.0, 94.02209, 1.698136, 200, 100.4431
2018-09-12 16:29:21.0, 94.11151, 1.697888, 200, 100.4424
2018-09-12 16:29:36.0, 93.4657, 1.699679, 200, 100.4414
2018-09-12 16:29:51.1, 93.31714, 1.700092, 200, 100.439
2018-09-12 16:30:06.2, 92.99219, 1.700995, 200, 100.4399
2018-09-12 16:30:21.2, 92.67468, 1.701878, 200, 100.4377
2018-09-12 16:30:36.3, 92.01459, 1.703717, 200, 100.4387
2018-09-12 16:30:51.4, 91.7785, 1.704376, 200, 100.4385
2018-09-12 16:31:06.5, 90.78503, 1.707154, 200, 100.438
2018-09-12 16:31:21.6, 90.38477, 1.708275, 200, 100.4341
2018-09-12 16:31:36.6, 89.57196, 1.710558, 200, 100.4336
2018-09-12 16:31:51.7, 88.4115, 1.713827, 200, 100.4399
2018-09-12 16:32:06.8, 88.09094, 1.714732, 200, 100.4355
2018-09-12 16:32:21.9, 87.46564, 1.716501, 200, 100.429
2018-09-12 16:32:36.9, 87.06488, 1.717636, 200, 100.4348
2018-09-12 16:32:52.0, 87.01215, 1.717786, 200, 100.4341
2018-09-12 16:33:07.1, 87.34894, 1.716831, 200, 100.4348
2018-09-12 16:33:22.2, 88.26697, 1.714235, 200, 100.437
2018-09-12 16:33:37.2, 88.36407, 1.713961, 200, 100.4392
2018-09-12 16:33:52.3, 88.80865, 1.712707, 200, 100.4387
2018-09-12 16:34:07.4, 89.51166, 1.710727, 200, 100.4341
2018-09-12 16:34:22.5, 90.23846, 1.708686, 200, 100.4375
2018-09-12 16:34:37.6, 90.53882, 1.707844, 200, 100.4343
2018-09-12 16:34:52.6, 91.09894, 1.706275, 200, 100.4338
2018-09-12 16:35:07.7, 91.35724, 1.705553, 200, 100.4314
2018-09-12 16:35:22.8, 91.97339, 1.703832, 200, 100.4333
2018-09-12 16:35:37.9, 92.58417, 1.70213, 200, 100.4355
2018-09-12 16:35:52.9, 93.23596, 1.700317, 200, 100.4329
2018-09-12 16:36:08.0, 94.05414, 1.698047, 200, 100.4292
2018-09-12 16:36:23.1, 94.37152, 1.697168, 200, 100.4316
2018-09-12 16:36:38.1, 95.03802, 1.695325, 200, 100.4336
2018-09-12 16:36:53.1, 95.46051, 1.694159, 200, 100.4348
2018-09-12 16:37:08.2, 96.06573, 1.692492, 200, 100.4336
2018-09-12 16:37:23.3, 95.89551, 1.69296, 200, 100.4346
2018-09-12 16:37:38.4, 95.84265, 1.693106, 200, 100.4329
2018-09-12 16:37:53.4, 95.88495, 1.692989, 200, 100.4316
2018-09-12 16:38:08.5, 95.63177, 1.693687, 200, 100.4285
2018-09-12 16:38:23.6, 95.56207, 1.693879, 200, 100.4319
2018-09-12 16:38:38.6, 95.86774, 1.693037, 200, 100.4307
2018-09-12 16:38:53.7, 95.58344, 1.69382, 200, 100.4333
2018-09-12 16:39:08.8, 95.67664, 1.693563, 200, 100.4294
2018-09-12 16:39:23.9, 95.58978, 1.693803, 200, 100.428
2018-09-12 16:39:38.9, 95.88361, 1.692993, 200, 100.428
2018-09-12 16:39:54.0, 95.22284, 1.694815, 200, 100.4307
2018-09-12 16:40:09.1, 95.72803, 1.693422, 200, 100.4314
2018-09-12 16:40:24.2, 95.50208, 1.694045, 200, 100.4277
2018-09-12 16:40:39.2, 95.34491, 1.694478, 200, 100.4268
2018-09-12 16:40:54.3, 95.16638, 1.694971, 200, 100.4268
2018-09-12 16:41:09.4, 94.91699, 1.69566, 200, 100.4272
2018-09-12 16:41:24.5, 94.06616, 1.698014, 200, 100.429
2018-09-12 16:41:39.6, 93.43152, 1.699774, 200, 100.4294
2018-09-12 16:41:54.6, 92.95575, 1.701096, 200, 100.4294
2018-09-12 16:42:09.7, 92.1037, 1.703469, 200, 100.4265
