Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-07-20 14:53:09.3, 99.61761, 1.746602, 200, 101.2463
2018-07-20 14:53:24.4, 99.70087, 1.746366, 200, 101.2432
2018-07-20 14:53:39.5, 99.52795, 1.746856, 200, 101.2449
2018-07-20 14:53:54.6, 99.62012, 1.746595, 200, 101.2493
2018-07-20 14:54:09.6, 98.29187, 1.750372, 200, 101.2458
2018-07-20 14:54:24.7, 97.76373, 1.751878, 200, 101.248
2018-07-20 14:54:39.8, 96.78516, 1.754677, 200, 101.2466
2018-07-20 14:54:54.9, 96.34467, 1.755939, 200, 101.2446
2018-07-20 14:55:09.9, 94.98279, 1.759854, 200, 101.2466
2018-07-20 14:55:25.0, 94.34296, 1.761699, 200, 101.2461
2018-07-20 14:55:40.1, 92.91931, 1.765819, 200, 101.2444
2018-07-20 14:55:55.1, 92.36261, 1.767435, 200, 101.2473
2018-07-20 14:56:10.2, 90.89215, 1.771718, 200, 101.2427
2018-07-20 14:56:25.3, 90.36493, 1.773259, 200, 101.2468
2018-07-20 14:56:40.4, 88.72064, 1.778081, 200, 101.2427
2018-07-20 14:56:55.5, 88.21625, 1.779566, 200, 101.2454
2018-07-20 14:57:10.5, 86.83246, 1.783651, 200, 101.2439
2018-07-20 14:57:25.6, 85.95734, 1.786245, 200, 101.2505
2018-07-20 14:57:40.7, 85.18835, 1.78853, 200, 101.248
2018-07-20 14:57:55.8, 84.01666, 1.792023, 200, 101.2485
2018-07-20 14:58:10.9, 83.25513, 1.794301, 200, 101.2483
2018-07-20 14:58:25.9, 81.9679, 1.798164, 200, 101.2468
2018-07-20 14:58:41.0, 81.60431, 1.799259, 200, 101.248
2018-07-20 14:58:56.1, 80.3551, 1.803028, 200, 101.2478
2018-07-20 14:59:11.1, 79.59198, 1.805339, 200, 101.2451
2018-07-20 14:59:26.2, 78.74408, 1.807913, 200, 101.2476
2018-07-20 14:59:41.3, 78.3866, 1.809001, 200, 101.249
2018-07-20 14:59:56.4, 77.2959, 1.812327, 200, 101.2473
