Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-17 12:36:23.6, 14.07578, 2.718497, 200, 100.1118
2018-10-17 12:36:38.7, 13.98282, 2.719036, 200, 100.1094
2018-10-17 12:36:53.8, 13.87924, 2.719637, 200, 100.1064
2018-10-17 12:37:08.9, 13.71912, 2.720566, 200, 100.1128
2018-10-17 12:37:23.9, 13.65659, 2.720929, 200, 100.1108
2018-10-17 12:37:39.0, 13.60745, 2.721215, 200, 100.1094
2018-10-17 12:37:54.1, 13.45944, 2.722074, 200, 100.1079
2018-10-17 12:38:09.2, 13.31921, 2.72289, 200, 100.1094
2018-10-17 12:38:24.2, 13.20798, 2.723536, 200, 100.1084
2018-10-17 12:38:39.3, 13.16943, 2.723761, 200, 100.1067
2018-10-17 12:38:54.4, 13.08218, 2.724269, 200, 100.1057
2018-10-17 12:39:09.5, 12.87408, 2.725481, 200, 100.1101
2018-10-17 12:39:24.6, 12.75061, 2.7262, 200, 100.1084
2018-10-17 12:39:39.6, 12.61368, 2.726999, 200, 100.1072
2018-10-17 12:39:54.7, 12.44156, 2.728003, 200, 100.1052
2018-10-17 12:40:09.8, 12.29242, 2.728874, 200, 100.1108
2018-10-17 12:40:24.9, 12.06927, 2.730178, 200, 100.1089
2018-10-17 12:40:39.9, 11.94318, 2.730915, 200, 100.1094
2018-10-17 12:40:55.0, 11.65939, 2.732576, 200, 100.1099
2018-10-17 12:41:10.1, 11.50436, 2.733485, 200, 100.1118
2018-10-17 12:41:25.2, 11.43011, 2.73392, 200, 100.1069
2018-10-17 12:41:40.2, 11.18921, 2.735333, 200, 100.1118
2018-10-17 12:41:55.3, 10.97989, 2.736562, 200, 100.1089
2018-10-17 12:42:10.4, 10.87381, 2.737185, 200, 100.1045
2018-10-17 12:42:25.5, 10.6377, 2.738573, 200, 100.1079
2018-10-17 12:42:40.5, 10.53424, 2.739182, 200, 100.1096
2018-10-17 12:42:55.6, 10.46991, 2.739561, 200, 100.1062
2018-10-17 12:43:10.7, 10.4613, 2.739611, 200, 100.106
2018-10-17 12:43:25.8, 10.40576, 2.739938, 200, 100.1084
2018-10-17 12:43:40.8, 10.25885, 2.740803, 200, 100.1064
2018-10-17 12:43:55.9, 10.27234, 2.740724, 200, 100.1055
2018-10-17 12:44:11.0, 10.30707, 2.74052, 200, 100.1016
2018-10-17 12:44:26.1, 10.48196, 2.73949, 200, 100.1023
2018-10-17 12:44:41.1, 10.60815, 2.738747, 200, 100.1035
2018-10-17 12:44:56.2, 10.84323, 2.737365, 200, 100.1086
2018-10-17 12:45:11.3, 10.96454, 2.736652, 200, 100.1074
2018-10-17 12:45:26.4, 11.06128, 2.736084, 200, 100.1042
2018-10-17 12:45:41.4, 11.2666, 2.734879, 200, 100.106
2018-10-17 12:45:56.5, 11.4628, 2.733728, 200, 100.1042
2018-10-17 12:46:11.6, 11.52072, 2.733389, 200, 100.1038
2018-10-17 12:46:26.7, 11.75507, 2.732016, 200, 100.1047
2018-10-17 12:46:41.8, 11.78915, 2.731817, 200, 100.104
