date,finclip_id,mass_g,probe,resp,resp_vol_L,expt_period,time,do_percent_sat,po2_torr,umol_o2_per_sec,sel_start,sel_end,sel_duration_sec,notes
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,1,90.105,143.5714,-0.0083,00:55.0,06:24.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,2,91.7055,146.1215,-0.0038,13:25.0,17:59.0,275,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,3,93.9603,149.7143,-0.0029,24:25.0,29:09.0,285,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,4,94.9047,151.2191,-0.0028,35:15.0,40:29.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,5,94.1559,150.0259,-0.0028,46:30.0,51:59.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,6,94.2516,150.1784,-0.0031,58:15.0,03:24.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,7,94.1666,150.0431,-0.0028,09:50.0,14:34.0,285,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,8,93.9475,149.6939,-0.0029,20:55.0,26:14.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,9,94.547,150.6492,-0.0024,32:30.0,37:24.0,295,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,10,94.779,151.0188,-0.0024,43:45.0,48:39.0,295,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,11,94.9053,151.22,-0.0027,55:20.0,00:09.0,290,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,12,95.0973,151.526,-0.0024,06:30.0,11:39.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,13,94.8228,151.0887,-0.0025,18:00.0,22:59.0,300,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,14,94.8643,151.1547,-0.0022,29:20.0,34:29.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,15,94.9132,151.2327,-0.0022,40:45.0,46:09.0,325,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,16,94.6638,150.8352,-0.0023,52:00.0,57:19.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,17,93.6884,149.2811,-0.0032,03:20.0,09:09.0,350,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,18,94.285,150.2317,-0.0024,15:05.0,20:24.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,19,94.2729,150.2124,-0.0024,26:30.0,32:09.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,20,94.541,150.6396,-0.0023,38:15.0,43:04.0,290,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,21,94.3298,150.303,-0.0022,49:35.0,54:54.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,22,94.3842,150.3897,-0.0023,01:05.0,05:54.0,290,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,23,94.5018,150.5771,-0.0022,12:05.0,17:34.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,24,94.407,150.4261,-0.0022,23:45.0,28:54.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,25,94.4652,150.5188,-0.0022,35:05.0,40:19.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,26,94.5582,150.667,-0.002,46:40.0,51:44.0,305,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,27,94.554,150.6603,-0.002,57:45.0,02:54.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,28,94.5049,150.5821,-0.0019,09:25.0,14:39.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,29,94.5289,150.6203,-0.002,20:45.0,25:49.0,305,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,30,94.5517,150.6567,-0.002,32:05.0,37:24.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,31,94.731,150.9424,-0.0018,43:00.0,48:29.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,32,94.5423,150.6417,-0.0019,54:45.0,00:09.0,325,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,33,94.5744,150.6929,-0.0019,06:10.0,11:29.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,34,94.4712,150.5284,-0.002,17:45.0,22:59.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,35,94.361,150.3527,-0.002,28:55.0,34:19.0,325,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,36,94.5022,150.5778,-0.0019,40:40.0,45:39.0,300,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,37,94.5585,150.6674,-0.0018,51:45.0,57:09.0,325,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,38,94.391,150.4006,-0.0019,03:20.0,08:49.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,39,94.4538,150.5006,-0.0019,14:50.0,20:04.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,40,94.3803,150.3835,-0.0019,26:05.0,31:24.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,41,94.4301,150.4629,-0.0018,37:35.0,42:54.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,42,94.577,150.697,-0.0018,48:40.0,54:19.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,43,94.5272,150.6177,-0.0019,00:45.0,05:34.0,290,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,44,94.6122,150.7531,-0.0018,11:50.0,16:59.0,310,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,45,94.6307,150.7825,-0.0016,22:40.0,28:44.0,365,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,46,94.5656,150.6789,-0.0018,34:45.0,40:04.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,47,94.7154,150.9174,-0.0016,45:35.0,51:19.0,345,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,48,94.464,150.5169,-0.0017,57:30.0,03:04.0,335,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,49,94.6916,150.8796,-0.0016,08:20.0,14:14.0,355,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,50,94.5148,150.5978,-0.0017,19:45.0,25:39.0,355,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,51,94.5535,150.6596,-0.0017,31:30.0,37:04.0,335,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,52,94.4998,150.5739,-0.0017,42:30.0,48:29.0,360,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,53,94.4112,150.4329,-0.0016,54:20.0,00:19.0,360,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,54,94.488,150.5551,-0.0017,05:45.0,11:14.0,330,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,55,94.3865,150.3934,-0.0018,17:30.0,22:44.0,315,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,56,94.4854,150.5511,-0.0016,28:30.0,34:09.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,57,94.4943,150.5652,-0.0016,39:50.0,45:49.0,360,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,58,94.4518,150.4975,-0.0017,51:30.0,57:09.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,59,94.534,150.6285,-0.0016,02:50.0,08:14.0,325,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,60,94.5991,150.7322,-0.0016,14:05.0,19:49.0,345,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,61,94.4079,150.4275,-0.0016,26:00.0,31:34.0,335,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,62,94.4846,150.5498,-0.0016,37:00.0,42:59.0,360,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,63,94.5495,150.6532,-0.0016,48:20.0,53:59.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,64,94.5636,150.6756,-0.0016,59:45.0,05:24.0,340,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,65,94.63,150.7814,-0.0015,11:25.0,16:44.0,320,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,66,94.4683,150.5238,-0.0016,22:45.0,28:19.0,335,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,67,94.3957,150.4081,-0.0016,34:30.0,39:34.0,305,time units are just for ordering - not actual time
3-Oct-18,top,3.4,NFB0010,2,0.0735,mmr_smr,68,94.4334,150.4681,-0.0015,44:50.0,51:19.0,390,time units are just for ordering - not actual time
