Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-19 11:54:09.7, 14.1908, 2.639949, 200, 100.0105
2018-11-19 11:54:24.8, 14.2291, 2.639739, 200, 100.0098
2018-11-19 11:54:39.9, 14.26254, 2.639555, 200, 100.0085
2018-11-19 11:54:55.0, 14.34637, 2.639095, 200, 100.0066
2018-11-19 11:55:10.1, 14.31851, 2.639248, 200, 100.0078
2018-11-19 11:55:25.1, 14.28967, 2.639406, 200, 100.0042
2018-11-19 11:55:40.2, 14.36432, 2.638996, 200, 100.0027
2018-11-19 11:55:55.3, 14.26395, 2.639547, 200, 100.0017
2018-11-19 11:56:10.3, 14.31714, 2.639255, 200, 100.0051
2018-11-19 11:56:25.5, 14.30005, 2.639349, 200, 100.0039
2018-11-19 11:56:40.5, 14.2785, 2.639467, 200, 100.0017
2018-11-19 11:56:55.6, 14.08063, 2.640555, 200, 99.99609
2018-11-19 11:57:10.7, 13.94598, 2.641295, 200, 100.001
2018-11-19 11:57:25.7, 13.88235, 2.641645, 200, 99.99805
2018-11-19 11:57:40.8, 13.763, 2.642302, 200, 99.99341
2018-11-19 11:57:55.9, 13.59134, 2.643247, 200, 99.99658
2018-11-19 11:58:11.0, 13.47879, 2.643867, 200, 99.99561
2018-11-19 11:58:26.0, 13.39835, 2.64431, 200, 99.98926
2018-11-19 11:58:41.1, 13.17041, 2.645568, 200, 99.99316
2018-11-19 11:58:56.2, 12.99625, 2.646529, 200, 99.99097
2018-11-19 11:59:11.3, 12.86246, 2.647268, 200, 99.98804
2018-11-19 11:59:26.3, 12.74017, 2.647944, 200, 99.98779
2018-11-19 11:59:41.4, 12.4873, 2.649342, 200, 99.98389
2018-11-19 11:59:56.5, 12.29428, 2.650411, 200, 99.98071
2018-11-19 12:00:11.6, 12.22534, 2.650793, 200, 99.98657
2018-11-19 12:00:26.6, 12.13663, 2.651284, 200, 99.98413
2018-11-19 12:00:41.7, 11.7049, 2.653679, 200, 99.9812
2018-11-19 12:00:56.8, 11.57471, 2.654402, 200, 99.98755
2018-11-19 12:01:11.9, 11.41602, 2.655284, 200, 99.98218
2018-11-19 12:01:27.0, 11.24777, 2.656219, 200, 99.98071
2018-11-19 12:01:42.0, 10.91171, 2.65809, 200, 99.98022
2018-11-19 12:01:57.1, 10.88785, 2.658223, 200, 99.98071
2018-11-19 12:02:12.2, 10.95721, 2.657836, 200, 99.98145
2018-11-19 12:02:27.3, 11.03259, 2.657417, 200, 99.98169
2018-11-19 12:02:42.3, 11.048, 2.657331, 200, 99.98047
2018-11-19 12:02:57.4, 11.13882, 2.656826, 200, 99.9812
2018-11-19 12:03:12.5, 11.49368, 2.654852, 200, 99.979
2018-11-19 12:03:27.6, 11.67761, 2.653831, 200, 99.98633
2018-11-19 12:03:42.6, 12.01096, 2.651981, 200, 99.9834
2018-11-19 12:03:57.7, 12.20306, 2.650916, 200, 99.98145
2018-11-19 12:04:12.8, 12.49042, 2.649325, 200, 99.98096
2018-11-19 12:04:27.9, 12.77109, 2.647773, 200, 99.98291
2018-11-19 12:04:43.0, 13.12717, 2.645806, 200, 99.97876
2018-11-19 12:04:58.0, 13.25424, 2.645105, 200, 99.97485
2018-11-19 12:05:13.1, 13.42053, 2.644188, 200, 99.97632
2018-11-19 12:05:28.2, 13.52676, 2.643603, 200, 99.98071
2018-11-19 12:05:43.3, 13.65454, 2.642899, 200, 99.98096
2018-11-19 12:05:58.3, 13.79764, 2.642111, 200, 99.98071
2018-11-19 12:06:13.4, 13.83942, 2.641881, 200, 99.97681
2018-11-19 12:06:28.5, 13.90131, 2.641541, 200, 99.97681
2018-11-19 12:06:43.6, 13.90445, 2.641523, 200, 99.97778
2018-11-19 12:06:58.6, 13.89008, 2.641603, 200, 99.97876
2018-11-19 12:07:13.7, 13.62448, 2.643064, 200, 99.97583
2018-11-19 12:07:28.8, 13.61966, 2.643091, 200, 99.97705
2018-11-19 12:07:43.9, 13.4585, 2.643979, 200, 99.97876
2018-11-19 12:07:58.9, 13.24933, 2.645132, 200, 99.98022
2018-11-19 12:08:14.0, 12.95447, 2.64676, 200, 99.97632
2018-11-19 12:08:29.1, 12.86963, 2.647228, 200, 99.96997
2018-11-19 12:08:44.2, 12.68649, 2.648241, 200, 99.96924
2018-11-19 12:08:59.2, 12.49121, 2.649321, 200, 99.9751
2018-11-19 12:09:14.2, 12.37421, 2.649968, 200, 99.97925
2018-11-19 12:09:29.3, 12.15302, 2.651193, 200, 99.97681
2018-11-19 12:09:44.4, 11.79117, 2.6532, 200, 99.96704
2018-11-19 12:09:59.4, 11.62119, 2.654144, 200, 99.96777
2018-11-19 12:10:14.5, 11.43503, 2.655178, 200, 99.96777
2018-11-19 12:10:29.6, 11.19263, 2.656526, 200, 99.96973
2018-11-19 12:10:44.7, 10.92816, 2.657998, 200, 99.96802
2018-11-19 12:10:59.7, 10.63101, 2.659655, 200, 99.96973
2018-11-19 12:11:14.8, 10.60303, 2.65981, 200, 99.9668
2018-11-19 12:11:29.9, 10.63989, 2.659605, 200, 99.96509
2018-11-19 12:11:45.0, 10.74606, 2.659013, 200, 99.96558
2018-11-19 12:12:00.0, 10.97635, 2.65773, 200, 99.96436
2018-11-19 12:12:15.1, 11.25537, 2.656177, 200, 99.96753
2018-11-19 12:12:30.2, 11.54749, 2.654553, 200, 99.96118
2018-11-19 12:12:45.3, 11.84308, 2.652912, 200, 99.96021
2018-11-19 12:13:00.4, 12.12991, 2.651322, 200, 99.96167
2018-11-19 12:13:15.4, 12.40616, 2.649791, 200, 99.96191
2018-11-19 12:13:30.5, 12.68933, 2.648225, 200, 99.96362
2018-11-19 12:13:45.6, 12.98914, 2.646568, 200, 99.9646
2018-11-19 12:14:00.7, 13.24979, 2.64513, 200, 99.95972
2018-11-19 12:14:15.7, 13.64667, 2.642942, 200, 99.96338
2018-11-19 12:14:30.8, 13.78397, 2.642186, 200, 99.95972
2018-11-19 12:14:45.9, 13.78101, 2.642203, 200, 99.96021
2018-11-19 12:15:01.0, 14.05975, 2.640669, 200, 99.96143
2018-11-19 12:15:16.0, 14.14981, 2.640174, 200, 99.96021
2018-11-19 12:15:31.1, 14.09241, 2.64049, 200, 99.95557
2018-11-19 12:15:46.2, 14.09424, 2.64048, 200, 99.95923
2018-11-19 12:16:01.3, 14.09641, 2.640468, 200, 99.95825
2018-11-19 12:16:16.3, 13.93527, 2.641354, 200, 99.95947
2018-11-19 12:16:31.4, 13.75845, 2.642327, 200, 99.96021
2018-11-19 12:16:46.5, 13.83337, 2.641915, 200, 99.96167
2018-11-19 12:17:01.6, 13.60782, 2.643157, 200, 99.95508
2018-11-19 12:17:16.7, 13.33362, 2.644668, 200, 99.95728
2018-11-19 12:17:31.7, 13.09491, 2.645984, 200, 99.95483
2018-11-19 12:17:46.8, 12.87952, 2.647174, 200, 99.95679
2018-11-19 12:18:01.9, 12.66162, 2.648378, 200, 99.95117
2018-11-19 12:18:17.0, 12.50638, 2.649237, 200, 99.95728
2018-11-19 12:18:32.0, 12.26703, 2.650562, 200, 99.95947
2018-11-19 12:18:47.1, 11.92374, 2.652465, 200, 99.95776
2018-11-19 12:19:02.2, 11.69962, 2.653708, 200, 99.95532
2018-11-19 12:19:17.2, 11.47263, 2.654969, 200, 99.95239
2018-11-19 12:19:32.3, 11.14011, 2.656818, 200, 99.95435
2018-11-19 12:19:47.4, 10.99179, 2.657644, 200, 99.95532
