Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
39:10.2,99.7348,2.266525,200,100.0164
39:25.3,99.70294,2.266653,200,100.0198
39:40.4,99.5014,2.267462,200,100.0173
39:55.4,99.56226,2.267218,200,100.0186
40:10.5,99.22565,2.268569,200,100.0203
40:25.6,98.85504,2.270059,200,100.0205
40:40.7,98.36536,2.272031,200,100.0215
40:55.7,97.85565,2.274087,200,100.0344
41:10.8,97.20392,2.276721,200,100.02
41:25.9,96.53864,2.279416,200,100.0266
41:41.0,95.87738,2.282102,200,100.0269
41:56.1,95.1427,2.285093,200,100.0247
42:11.1,94.39551,2.288142,200,100.0266
42:26.2,93.74042,2.290823,200,100.0222
42:41.3,92.78992,2.294724,200,100.0166
42:56.4,92.05157,2.297763,200,100.0222
43:11.4,91.07617,2.301791,200,100.0322
43:26.5,90.27948,2.305091,200,100.033
43:41.6,89.3103,2.309118,200,100.0325
43:56.7,88.36743,2.313049,200,100.031
44:11.7,87.44598,2.316905,200,100.0349
44:26.8,86.32153,2.321626,200,100.0388
44:41.9,85.60181,2.324659,200,100.0298
44:57.0,84.67456,2.328578,200,100.033
45:12.0,83.80737,2.332254,200,100.0376
45:27.1,83.08185,2.335339,200,100.0408
45:42.2,81.91467,2.340319,200,100.0371
45:57.3,81.64258,2.341483,200,100.0334
46:12.3,81.8855,2.340444,200,100.0342
46:27.4,82.1795,2.339187,200,100.0398
46:42.5,83.01294,2.335633,200,100.0413
46:57.6,83.67316,2.332824,200,100.0469
47:12.6,84.83539,2.327897,200,100.0364
47:27.7,85.94678,2.323205,200,100.0315
47:42.8,86.99933,2.318778,200,100.04
47:57.9,88.05975,2.314335,200,100.0422
48:12.9,89.19318,2.309606,200,100.0391
48:28.0,90.09131,2.305871,200,100.0332
48:43.1,90.85901,2.302689,200,100.0361
48:58.2,91.65137,2.299414,200,100.0322
49:13.3,92.38416,2.296393,200,100.0374
49:28.3,93.13123,2.293322,200,100.0427
49:43.4,93.57904,2.291485,200,100.0369
49:58.5,94.15204,2.289138,200,100.0417
50:13.6,94.57159,2.287423,200,100.0435
50:28.6,94.93164,2.285953,200,100.0369
50:43.7,95.47351,2.283745,200,100.0325
50:58.8,95.64899,2.283031,200,100.0313
51:13.9,95.99878,2.281608,200,100.0327
51:28.9,96.23138,2.280663,200,100.0229
51:44.0,96.31738,2.280314,200,100.0269
51:59.1,96.63428,2.279028,200,100.0283
52:14.2,96.77484,2.278458,200,100.0266
52:29.2,96.67383,2.278868,200,100.0242
52:44.3,96.45544,2.279754,200,100.0259
52:59.4,96.56769,2.279298,200,100.0264
53:14.5,96.23907,2.280632,200,100.0151
53:29.6,95.78894,2.282461,200,100.0173
53:44.6,95.53607,2.28349,200,100.0229
53:59.7,95.11438,2.285208,200,100.0181
54:14.8,94.57281,2.287418,200,100.0107
54:29.8,94.13086,2.289225,200,100.0107
54:44.9,93.55994,2.291563,200,100.0132
55:00.0,93.18738,2.293091,200,100.0125
55:15.1,92.58881,2.295551,200,100.0215
55:30.2,92.12903,2.297444,200,100.0142
