Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-05 12:43:23.1, 99.07071, 2.271489, 200, 99.5481
2018-11-05 12:43:38.2, 99.17551, 2.271071, 200, 99.552
2018-11-05 12:43:53.3, 99.08957, 2.271414, 200, 99.54761
2018-11-05 12:44:08.3, 98.99319, 2.271798, 200, 99.54736
2018-11-05 12:44:23.4, 98.74557, 2.272786, 200, 99.54102
2018-11-05 12:44:38.5, 98.51285, 2.273715, 200, 99.54541
2018-11-05 12:44:53.6, 98.14774, 2.275174, 200, 99.5481
2018-11-05 12:45:08.6, 97.53128, 2.277642, 200, 99.5437
2018-11-05 12:45:23.7, 97.08273, 2.279442, 200, 99.54443
2018-11-05 12:45:38.8, 96.56058, 2.28154, 200, 99.54321
2018-11-05 12:45:53.9, 95.5668, 2.285544, 200, 99.54883
2018-11-05 12:46:08.9, 94.8923, 2.288269, 200, 99.54346
2018-11-05 12:46:24.0, 94.1738, 2.29118, 200, 99.54736
2018-11-05 12:46:39.1, 93.32443, 2.29463, 200, 99.54419
2018-11-05 12:46:54.2, 92.3765, 2.298492, 200, 99.54541
2018-11-05 12:47:09.2, 91.49924, 2.302079, 200, 99.5437
2018-11-05 12:47:24.3, 90.616, 2.305701, 200, 99.54517
2018-11-05 12:47:39.4, 89.65311, 2.309663, 200, 99.54297
2018-11-05 12:47:54.5, 88.63327, 2.313874, 200, 99.54395
2018-11-05 12:48:09.5, 87.67715, 2.317836, 200, 99.5459
2018-11-05 12:48:24.6, 86.86105, 2.321229, 200, 99.54077
2018-11-05 12:48:39.7, 85.86246, 2.325393, 200, 99.54517
2018-11-05 12:48:54.8, 84.96432, 2.329151, 200, 99.54468
2018-11-05 12:49:09.8, 84.11655, 2.33271, 200, 99.5437
2018-11-05 12:49:24.9, 83.10336, 2.336978, 200, 99.54614
2018-11-05 12:49:40.0, 82.1395, 2.341052, 200, 99.54492
2018-11-05 12:49:55.1, 81.21518, 2.344972, 200, 99.54639
2018-11-05 12:50:10.2, 81.03775, 2.345726, 200, 99.54639
2018-11-05 12:50:25.2, 81.22452, 2.344933, 200, 99.54297
2018-11-05 12:50:40.3, 81.82303, 2.342393, 200, 99.54248
2018-11-05 12:50:55.4, 82.56583, 2.339248, 200, 99.54419
2018-11-05 12:51:10.4, 83.62027, 2.334799, 200, 99.54468
2018-11-05 12:51:25.6, 84.44772, 2.331319, 200, 99.5459
2018-11-05 12:51:40.6, 85.9111, 2.32519, 200, 99.54663
2018-11-05 12:51:55.7, 86.92831, 2.320948, 200, 99.54004
2018-11-05 12:52:10.8, 88.06107, 2.316244, 200, 99.54248
2018-11-05 12:52:25.8, 89.09439, 2.311968, 200, 99.54272
2018-11-05 12:52:40.9, 89.99155, 2.308269, 200, 99.53833
2018-11-05 12:52:56.0, 91.09805, 2.303723, 200, 99.54126
2018-11-05 12:53:11.1, 91.84915, 2.300647, 200, 99.54102
2018-11-05 12:53:26.2, 92.55466, 2.297765, 200, 99.54395
2018-11-05 12:53:41.2, 93.04678, 2.29576, 200, 99.53784
2018-11-05 12:53:56.3, 93.76779, 2.292827, 200, 99.53613
2018-11-05 12:54:11.4, 94.21872, 2.290998, 200, 99.53711
2018-11-05 12:54:26.4, 94.83817, 2.288488, 200, 99.53394
2018-11-05 12:54:41.5, 95.10141, 2.287424, 200, 99.53564
2018-11-05 12:54:56.6, 95.48495, 2.285874, 200, 99.5376
2018-11-05 12:55:11.7, 95.63779, 2.285257, 200, 99.53882
2018-11-05 12:55:26.7, 95.96152, 2.283952, 200, 99.53271
2018-11-05 12:55:41.8, 96.3605, 2.282345, 200, 99.53442
2018-11-05 12:55:56.9, 96.577, 2.281474, 200, 99.53735
2018-11-05 12:56:12.0, 96.73282, 2.280847, 200, 99.53345
2018-11-05 12:56:27.0, 97.09805, 2.27938, 200, 99.53735
2018-11-05 12:56:42.1, 96.957, 2.279947, 200, 99.53491
2018-11-05 12:56:57.2, 97.01736, 2.279704, 200, 99.53442
2018-11-05 12:57:12.3, 96.93204, 2.280047, 200, 99.52979
2018-11-05 12:57:27.3, 96.86307, 2.280324, 200, 99.5332
2018-11-05 12:57:42.4, 96.55203, 2.281574, 200, 99.5293
2018-11-05 12:57:57.5, 96.46445, 2.281927, 200, 99.53296
2018-11-05 12:58:12.6, 95.93253, 2.284069, 200, 99.53638
2018-11-05 12:58:27.7, 95.68411, 2.28507, 200, 99.53784
2018-11-05 12:58:42.7, 95.10153, 2.287423, 200, 99.53247
2018-11-05 12:58:57.8, 94.70224, 2.289038, 200, 99.5354
2018-11-05 12:59:12.9, 94.24429, 2.290894, 200, 99.53613
2018-11-05 12:59:28.0, 94.02994, 2.291763, 200, 99.53296
2018-11-05 12:59:43.0, 93.40182, 2.294315, 200, 99.53467
2018-11-05 12:59:58.1, 92.8804, 2.296438, 200, 99.53027
2018-11-05 13:00:13.2, 92.33163, 2.298676, 200, 99.53467
2018-11-05 13:00:28.3, 91.89291, 2.300468, 200, 99.5332
2018-11-05 13:00:43.3, 91.34134, 2.302726, 200, 99.53784
2018-11-05 13:00:58.4, 90.98538, 2.304185, 200, 99.53223
2018-11-05 13:01:13.5, 90.32156, 2.306911, 200, 99.53442
2018-11-05 13:01:28.6, 89.87375, 2.308754, 200, 99.53003
2018-11-05 13:01:43.6, 89.3038, 2.311104, 200, 99.54077
2018-11-05 13:01:58.7, 88.67099, 2.313718, 200, 99.5332
2018-11-05 13:02:13.8, 88.07175, 2.316199, 200, 99.53174
2018-11-05 13:02:28.9, 88.16617, 2.315808, 200, 99.53052
2018-11-05 13:02:43.9, 88.27164, 2.315371, 200, 99.53149
2018-11-05 13:02:58.9, 88.30521, 2.315232, 200, 99.52856
2018-11-05 13:03:14.0, 88.80191, 2.313177, 200, 99.53247
2018-11-05 13:03:29.1, 89.29935, 2.311122, 200, 99.52759
2018-11-05 13:03:44.2, 89.95407, 2.308423, 200, 99.53149
2018-11-05 13:03:59.2, 90.59604, 2.305783, 200, 99.53149
2018-11-05 13:04:14.3, 91.28134, 2.302971, 200, 99.52612
2018-11-05 13:04:29.4, 92.10873, 2.299586, 200, 99.52979
2018-11-05 13:04:44.5, 92.76224, 2.296919, 200, 99.52783
2018-11-05 13:04:59.5, 93.43515, 2.294179, 200, 99.5271
2018-11-05 13:05:14.6, 93.97702, 2.291978, 200, 99.52637
2018-11-05 13:05:29.7, 94.54245, 2.289685, 200, 99.52393
2018-11-05 13:05:44.7, 94.76254, 2.288794, 200, 99.53027
2018-11-05 13:05:59.8, 95.34622, 2.286434, 200, 99.52246
2018-11-05 13:06:14.9, 95.62851, 2.285295, 200, 99.52466
2018-11-05 13:06:30.0, 95.94131, 2.284033, 200, 99.52637
2018-11-05 13:06:45.1, 96.32175, 2.282501, 200, 99.52612
2018-11-05 13:07:00.1, 96.41653, 2.282119, 200, 99.52686
2018-11-05 13:07:15.2, 96.78494, 2.280638, 200, 99.52197
2018-11-05 13:07:30.3, 97.0004, 2.279772, 200, 99.52808
