Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-12 12:39:01.0, 14.10388, 2.660492, 200, 100.8679
2018-11-12 12:39:16.1, 14.11008, 2.660458, 200, 100.8708
2018-11-12 12:39:31.2, 14.13922, 2.660296, 200, 100.8672
2018-11-12 12:39:46.3, 14.17352, 2.660105, 200, 100.8684
2018-11-12 12:40:01.3, 14.22186, 2.659836, 200, 100.8684
2018-11-12 12:40:16.4, 14.28238, 2.6595, 200, 100.8635
2018-11-12 12:40:31.5, 14.34534, 2.65915, 200, 100.8643
2018-11-12 12:40:46.6, 14.34378, 2.659159, 200, 100.8665
2018-11-12 12:41:01.7, 14.36078, 2.659065, 200, 100.8635
2018-11-12 12:41:16.7, 14.38394, 2.658936, 200, 100.8633
2018-11-12 12:41:31.8, 14.38858, 2.65891, 200, 100.8669
2018-11-12 12:41:46.9, 14.30502, 2.659374, 200, 100.8625
2018-11-12 12:42:02.0, 14.34235, 2.659167, 200, 100.8669
2018-11-12 12:42:17.0, 14.20724, 2.659918, 200, 100.8672
2018-11-12 12:42:32.1, 14.25897, 2.65963, 200, 100.8674
2018-11-12 12:42:47.2, 14.26013, 2.659624, 200, 100.8625
2018-11-12 12:43:02.3, 14.05356, 2.660772, 200, 100.8633
2018-11-12 12:43:17.3, 14.07123, 2.660674, 200, 100.8687
2018-11-12 12:43:32.4, 13.86575, 2.661817, 200, 100.8638
2018-11-12 12:43:47.5, 13.84903, 2.66191, 200, 100.865
2018-11-12 12:44:02.6, 13.78323, 2.662276, 200, 100.8635
2018-11-12 12:44:17.7, 13.81149, 2.662119, 200, 100.863
2018-11-12 12:44:32.7, 13.63608, 2.663095, 200, 100.863
2018-11-12 12:44:47.8, 13.45508, 2.664104, 200, 100.8662
2018-11-12 12:45:02.9, 13.43591, 2.664211, 200, 100.864
2018-11-12 12:45:18.0, 13.31821, 2.664867, 200, 100.8589
2018-11-12 12:45:33.0, 13.19705, 2.665543, 200, 100.8606
2018-11-12 12:45:48.1, 13.23715, 2.665319, 200, 100.863
2018-11-12 12:46:03.2, 12.96387, 2.666845, 200, 100.8582
2018-11-12 12:46:18.2, 13.11118, 2.666022, 200, 100.8591
2018-11-12 12:46:33.3, 12.98892, 2.666705, 200, 100.856
2018-11-12 12:46:48.4, 12.84088, 2.667532, 200, 100.8577
2018-11-12 12:47:03.5, 12.80975, 2.667706, 200, 100.8547
2018-11-12 12:47:18.6, 12.67572, 2.668456, 200, 100.8584
2018-11-12 12:47:33.6, 12.82898, 2.667599, 200, 100.855
2018-11-12 12:47:48.7, 12.75009, 2.66804, 200, 100.8518
2018-11-12 12:48:03.8, 12.81238, 2.667691, 200, 100.8499
2018-11-12 12:48:18.9, 12.84015, 2.667536, 200, 100.8511
2018-11-12 12:48:33.9, 12.9519, 2.666912, 200, 100.8467
2018-11-12 12:48:49.0, 12.96878, 2.666817, 200, 100.8516
2018-11-12 12:49:04.1, 13.0701, 2.666252, 200, 100.8491
2018-11-12 12:49:19.2, 12.97006, 2.66681, 200, 100.8484
2018-11-12 12:49:34.3, 13.08661, 2.66616, 200, 100.845
2018-11-12 12:49:49.3, 13.24136, 2.665296, 200, 100.8433
2018-11-12 12:50:04.4, 13.17438, 2.66567, 200, 100.8406
2018-11-12 12:50:19.5, 13.19357, 2.665562, 200, 100.843
2018-11-12 12:50:34.5, 13.15427, 2.665782, 200, 100.8452
2018-11-12 12:50:49.6, 13.08789, 2.666152, 200, 100.8447
2018-11-12 12:51:04.7, 12.98047, 2.666752, 200, 100.8428
2018-11-12 12:51:19.8, 12.96838, 2.66682, 200, 100.8423
2018-11-12 12:51:34.9, 12.92017, 2.667089, 200, 100.8425
2018-11-12 12:51:49.9, 12.90732, 2.667161, 200, 100.8418
2018-11-12 12:52:05.0, 12.77872, 2.66788, 200, 100.8398
2018-11-12 12:52:20.1, 12.73126, 2.668145, 200, 100.8433
2018-11-12 12:52:35.2, 12.54498, 2.669187, 200, 100.8384
