Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-24 14:08:52.9, 99.95975, 2.282612, 200, 99.59668
2018-10-24 14:09:08.0, 100.0407, 2.282286, 200, 99.59692
2018-10-24 14:09:23.0, 99.94162, 2.282685, 200, 99.59521
2018-10-24 14:09:38.1, 99.85147, 2.283048, 200, 99.59692
2018-10-24 14:09:53.2, 99.50443, 2.284447, 200, 99.59961
2018-10-24 14:10:08.3, 99.29294, 2.285301, 200, 99.59619
2018-10-24 14:10:23.4, 98.95267, 2.286675, 200, 99.59326
2018-10-24 14:10:38.4, 98.66678, 2.287831, 200, 99.59351
2018-10-24 14:10:53.5, 98.22006, 2.28964, 200, 99.5918
2018-10-24 14:11:08.6, 97.73984, 2.291588, 200, 99.59155
2018-10-24 14:11:23.7, 97.11758, 2.294117, 200, 99.5957
2018-10-24 14:11:38.7, 96.49564, 2.29665, 200, 99.59497
2018-10-24 14:11:53.8, 95.88931, 2.299125, 200, 99.59863
2018-10-24 14:12:08.9, 94.96738, 2.302898, 200, 99.59937
2018-10-24 14:12:24.0, 94.41489, 2.305166, 200, 99.59546
2018-10-24 14:12:39.1, 93.47446, 2.309035, 200, 99.59229
2018-10-24 14:12:54.1, 92.75174, 2.312018, 200, 99.59595
2018-10-24 14:13:09.2, 91.90903, 2.315505, 200, 99.59644
2018-10-24 14:13:24.3, 91.2623, 2.318188, 200, 99.59448
2018-10-24 14:13:39.3, 90.32663, 2.322082, 200, 99.5957
2018-10-24 14:13:54.4, 89.63577, 2.324965, 200, 99.59473
2018-10-24 14:14:09.5, 88.77054, 2.328587, 200, 99.59375
2018-10-24 14:14:24.6, 87.96097, 2.331985, 200, 99.59668
2018-10-24 14:14:39.6, 87.19656, 2.335203, 200, 99.59619
2018-10-24 14:14:54.7, 86.17361, 2.339523, 200, 99.59717
2018-10-24 14:15:09.8, 85.24289, 2.343467, 200, 99.5957
2018-10-24 14:15:24.9, 84.41519, 2.346987, 200, 99.59717
2018-10-24 14:15:40.0, 83.93259, 2.349043, 200, 99.59863
2018-10-24 14:15:55.0, 83.91995, 2.349097, 200, 99.59692
2018-10-24 14:16:10.0, 84.35416, 2.347246, 200, 99.59595
2018-10-24 14:16:25.1, 84.85617, 2.34511, 200, 99.59546
2018-10-24 14:16:40.2, 85.40964, 2.34276, 200, 99.59375
2018-10-24 14:16:55.2, 86.26987, 2.339116, 200, 99.59644
2018-10-24 14:17:10.3, 87.38553, 2.334406, 200, 99.59277
2018-10-24 14:17:25.4, 88.43503, 2.329993, 200, 99.59473
2018-10-24 14:17:40.5, 89.46634, 2.325674, 200, 99.59473
2018-10-24 14:17:55.5, 90.35721, 2.321954, 200, 99.5979
2018-10-24 14:18:10.6, 91.19101, 2.318485, 200, 99.59448
2018-10-24 14:18:25.7, 91.89786, 2.315551, 200, 99.59351
2018-10-24 14:18:40.8, 92.55795, 2.312819, 200, 99.59595
2018-10-24 14:18:55.8, 92.9913, 2.311028, 200, 99.5957
2018-10-24 14:19:10.9, 93.41788, 2.309268, 200, 99.59399
2018-10-24 14:19:26.0, 93.86801, 2.307414, 200, 99.59058
2018-10-24 14:19:41.1, 94.05527, 2.306644, 200, 99.59302
2018-10-24 14:19:56.2, 94.54507, 2.304631, 200, 99.59155
2018-10-24 14:20:11.2, 94.66006, 2.304159, 200, 99.58838
2018-10-24 14:20:26.2, 94.89359, 2.303201, 200, 99.59155
2018-10-24 14:20:41.4, 95.14621, 2.302166, 200, 99.59375
2018-10-24 14:20:56.4, 95.22861, 2.301828, 200, 99.58838
2018-10-24 14:21:11.5, 95.4902, 2.300757, 200, 99.59253
2018-10-24 14:21:26.6, 95.64084, 2.300141, 200, 99.59131
2018-10-24 14:21:41.7, 95.82394, 2.299392, 200, 99.59131
2018-10-24 14:21:56.8, 95.90988, 2.299041, 200, 99.59302
2018-10-24 14:22:11.8, 95.86307, 2.299232, 200, 99.59082
2018-10-24 14:22:26.9, 95.65018, 2.300102, 200, 99.59277
2018-10-24 14:22:42.0, 95.45114, 2.300917, 200, 99.58984
2018-10-24 14:22:57.1, 95.23148, 2.301816, 200, 99.58984
2018-10-24 14:23:12.1, 94.99387, 2.30279, 200, 99.59229
2018-10-24 14:23:27.2, 94.54984, 2.304611, 200, 99.58716
2018-10-24 14:23:42.3, 94.12936, 2.306339, 200, 99.59204
2018-10-24 14:23:57.4, 93.72903, 2.307986, 200, 99.59058
2018-10-24 14:24:12.4, 93.17191, 2.310283, 200, 99.5918
2018-10-24 14:24:27.4, 92.59592, 2.312662, 200, 99.59448
2018-10-24 14:24:42.6, 91.74759, 2.316174, 200, 99.59375
2018-10-24 14:24:57.7, 91.11667, 2.318794, 200, 99.59106
2018-10-24 14:25:12.7, 90.35971, 2.321944, 200, 99.59351
2018-10-24 14:25:27.8, 89.64688, 2.324919, 200, 99.59521
2018-10-24 14:25:42.9, 88.71506, 2.328819, 200, 99.59351
2018-10-24 14:25:58.0, 87.66727, 2.33322, 200, 99.5896
2018-10-24 14:26:13.0, 86.60068, 2.337717, 200, 99.59277
2018-10-24 14:26:28.1, 85.5416, 2.3422, 200, 99.59668
2018-10-24 14:26:43.2, 84.44107, 2.346876, 200, 99.59399
2018-10-24 14:26:58.3, 83.52396, 2.350788, 200, 99.59473
2018-10-24 14:27:13.3, 82.61624, 2.354672, 200, 99.59155
2018-10-24 14:27:28.4, 81.85574, 2.357936, 200, 99.59155
2018-10-24 14:27:43.5, 81.14005, 2.361016, 200, 99.59009
