Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-02 16:21:40.4, 13.9946, 2.671881, 200, 99.92041
2018-11-02 16:21:55.4, 14.00565, 2.67182, 200, 99.91382
2018-11-02 16:22:10.5, 14.13092, 2.671122, 200, 99.92285
2018-11-02 16:22:25.6, 14.25006, 2.670458, 200, 99.92529
2018-11-02 16:22:40.6, 14.18442, 2.670824, 200, 99.93091
2018-11-02 16:22:55.7, 14.23059, 2.670567, 200, 99.92139
2018-11-02 16:23:10.8, 14.26743, 2.670362, 200, 99.9187
2018-11-02 16:23:25.9, 14.27069, 2.670344, 200, 99.9209
2018-11-02 16:23:41.0, 14.23785, 2.670527, 200, 99.91431
2018-11-02 16:23:56.0, 14.21982, 2.670627, 200, 99.92139
2018-11-02 16:24:11.1, 14.07211, 2.671449, 200, 99.93042
2018-11-02 16:24:26.2, 13.99384, 2.671886, 200, 99.92529
2018-11-02 16:24:41.3, 13.93314, 2.672224, 200, 99.93091
2018-11-02 16:24:56.3, 13.68912, 2.673585, 200, 99.9248
2018-11-02 16:25:11.4, 13.69135, 2.673573, 200, 99.92773
2018-11-02 16:25:26.5, 13.54083, 2.674413, 200, 99.92822
2018-11-02 16:25:41.6, 13.43463, 2.675006, 200, 99.92969
2018-11-02 16:25:56.6, 13.28271, 2.675855, 200, 99.92676
2018-11-02 16:26:11.9, 13.02023, 2.677323, 200, 99.92114
2018-11-02 16:26:26.9, 12.90851, 2.677948, 200, 99.92676
2018-11-02 16:26:42.0, 12.81006, 2.678499, 200, 99.9231
2018-11-02 16:26:57.0, 12.58594, 2.679755, 200, 99.92529
2018-11-02 16:27:12.0, 12.46393, 2.680439, 200, 99.92773
2018-11-02 16:27:27.1, 12.35297, 2.681062, 200, 99.92529
2018-11-02 16:27:42.2, 12.09268, 2.682523, 200, 99.9248
2018-11-02 16:27:57.3, 12.02921, 2.68288, 200, 99.92896
2018-11-02 16:28:12.3, 11.74081, 2.684501, 200, 99.92603
2018-11-02 16:28:27.4, 11.57343, 2.685444, 200, 99.92041
2018-11-02 16:28:42.5, 11.41885, 2.686314, 200, 99.92383
2018-11-02 16:28:57.5, 11.3959, 2.686444, 200, 99.92383
2018-11-02 16:29:12.6, 11.42984, 2.686252, 200, 99.92114
2018-11-02 16:29:27.7, 11.42542, 2.686277, 200, 99.92188
2018-11-02 16:29:42.8, 11.49289, 2.685897, 200, 99.91699
2018-11-02 16:29:57.9, 11.67984, 2.684845, 200, 99.92188
2018-11-02 16:30:12.9, 11.77765, 2.684294, 200, 99.9165
2018-11-02 16:30:28.0, 12.03989, 2.68282, 200, 99.92139
2018-11-02 16:30:43.1, 12.34912, 2.681084, 200, 99.91772
2018-11-02 16:30:58.1, 12.56412, 2.679878, 200, 99.90894
2018-11-02 16:31:13.2, 12.82944, 2.678391, 200, 99.91064
2018-11-02 16:31:28.3, 13.1438, 2.676631, 200, 99.91553
2018-11-02 16:31:43.4, 13.33121, 2.675584, 200, 99.90991
2018-11-02 16:31:58.5, 13.51044, 2.674582, 200, 99.90991
2018-11-02 16:32:13.5, 13.75836, 2.673198, 200, 99.91675
2018-11-02 16:32:28.6, 13.88409, 2.672497, 200, 99.90991
2018-11-02 16:32:43.7, 14.18335, 2.67083, 200, 99.90869
2018-11-02 16:32:58.8, 14.28418, 2.670269, 200, 99.91724
2018-11-02 16:33:13.8, 14.50272, 2.669052, 200, 99.91211
2018-11-02 16:33:28.9, 14.6012, 2.668505, 200, 99.91846
2018-11-02 16:33:44.0, 14.7626, 2.667608, 200, 99.91675
2018-11-02 16:33:59.1, 14.89969, 2.666847, 200, 99.92261
2018-11-02 16:34:14.1, 14.99225, 2.666333, 200, 99.91406
2018-11-02 16:34:29.2, 15.11801, 2.665635, 200, 99.91992
2018-11-02 16:34:44.3, 15.26361, 2.664828, 200, 99.91992
2018-11-02 16:34:59.4, 15.42105, 2.663955, 200, 99.91504
2018-11-02 16:35:14.4, 15.47882, 2.663635, 200, 99.92041
2018-11-02 16:35:29.5, 15.59265, 2.663005, 200, 99.93115
2018-11-02 16:35:44.6, 15.67667, 2.662539, 200, 99.92749
2018-11-02 16:35:59.7, 15.61307, 2.662891, 200, 99.92749
2018-11-02 16:36:14.7, 15.65964, 2.662634, 200, 99.92529
2018-11-02 16:36:29.7, 15.63544, 2.662768, 200, 99.93066
2018-11-02 16:36:44.8, 15.58795, 2.663031, 200, 99.93164
2018-11-02 16:36:59.9, 15.43094, 2.6639, 200, 99.93799
2018-11-02 16:37:14.9, 15.49869, 2.663525, 200, 99.92261
2018-11-02 16:37:30.0, 15.3663, 2.664258, 200, 99.93115
2018-11-02 16:37:45.1, 15.24811, 2.664913, 200, 99.92627
2018-11-02 16:38:00.2, 15.09882, 2.665741, 200, 99.93066
2018-11-02 16:38:15.3, 14.79211, 2.667444, 200, 99.92505
2018-11-02 16:38:30.3, 14.65158, 2.668225, 200, 99.92627
2018-11-02 16:38:45.4, 14.32794, 2.670025, 200, 99.93115
2018-11-02 16:39:00.5, 14.16739, 2.670919, 200, 99.92969
2018-11-02 16:39:15.6, 13.89673, 2.672427, 200, 99.92456
2018-11-02 16:39:30.6, 13.6377, 2.673872, 200, 99.927
2018-11-02 16:39:45.7, 13.42053, 2.675085, 200, 99.93115
2018-11-02 16:40:00.8, 13.19211, 2.676361, 200, 99.92383
2018-11-02 16:40:15.9, 13.03055, 2.677265, 200, 99.92505
2018-11-02 16:40:30.9, 12.75787, 2.678792, 200, 99.91943
2018-11-02 16:40:46.0, 12.54663, 2.679976, 200, 99.91992
2018-11-02 16:41:01.1, 12.23135, 2.681745, 200, 99.92725
2018-11-02 16:41:16.2, 12.06839, 2.68266, 200, 99.92407
2018-11-02 16:41:31.2, 11.8306, 2.683997, 200, 99.927
2018-11-02 16:41:46.3, 11.63556, 2.685094, 200, 99.92383
2018-11-02 16:42:01.4, 11.35983, 2.686647, 200, 99.927
2018-11-02 16:42:16.5, 11.12231, 2.687986, 200, 99.92041
2018-11-02 16:42:31.5, 11.06699, 2.688298, 200, 99.92383
2018-11-02 16:42:46.6, 11.17563, 2.687685, 200, 99.92212
2018-11-02 16:43:01.6, 11.37341, 2.68657, 200, 99.92139
2018-11-02 16:43:16.7, 11.52045, 2.685742, 200, 99.92456
2018-11-02 16:43:31.7, 11.71637, 2.684639, 200, 99.92017
2018-11-02 16:43:46.8, 11.90649, 2.68357, 200, 99.92139
2018-11-02 16:44:01.9, 12.04797, 2.682775, 200, 99.92163
2018-11-02 16:44:17.0, 12.10663, 2.682445, 200, 99.93237
2018-11-02 16:44:32.1, 12.26852, 2.681536, 200, 99.92505
2018-11-02 16:44:47.1, 12.45648, 2.680481, 200, 99.92871
2018-11-02 16:45:02.2, 12.51059, 2.680178, 200, 99.92798
2018-11-02 16:45:17.3, 12.5918, 2.679723, 200, 99.92651
2018-11-02 16:45:32.4, 12.84668, 2.678294, 200, 99.93237
2018-11-02 16:45:47.4, 12.92181, 2.677874, 200, 99.93433
2018-11-02 16:46:02.5, 13.01331, 2.677361, 200, 99.92725
2018-11-02 16:46:17.6, 13.12814, 2.676719, 200, 99.9375
2018-11-02 16:46:32.7, 13.20944, 2.676265, 200, 99.94116
2018-11-02 16:46:47.7, 13.24759, 2.676051, 200, 99.94092
2018-11-02 16:47:02.8, 13.39618, 2.67522, 200, 99.93237
2018-11-02 16:47:17.9, 13.49799, 2.674652, 200, 99.9292
2018-11-02 16:47:33.0, 13.53323, 2.674455, 200, 99.94214
2018-11-02 16:47:48.1, 13.61899, 2.673976, 200, 99.93384
2018-11-02 16:48:03.1, 13.62421, 2.673947, 200, 99.93262
2018-11-02 16:48:18.2, 13.77258, 2.673119, 200, 99.93481
2018-11-02 16:48:33.3, 13.81473, 2.672884, 200, 99.94336
2018-11-02 16:48:48.3, 13.90561, 2.672377, 200, 99.93579
2018-11-02 16:49:03.4, 13.85553, 2.672657, 200, 99.93604
2018-11-02 16:49:18.5, 13.88226, 2.672508, 200, 99.93115
2018-11-02 16:49:33.6, 13.9007, 2.672405, 200, 99.93213
2018-11-02 16:49:48.7, 13.97214, 2.672006, 200, 99.93823
2018-11-02 16:50:03.7, 13.87106, 2.67257, 200, 99.94043
2018-11-02 16:50:18.8, 13.70538, 2.673494, 200, 99.93896
2018-11-02 16:50:33.9, 13.53983, 2.674418, 200, 99.93555
2018-11-02 16:50:49.0, 13.51547, 2.674554, 200, 99.93408
2018-11-02 16:51:04.0, 13.25, 2.676038, 200, 99.93506
2018-11-02 16:51:19.1, 13.18912, 2.676378, 200, 99.94458
2018-11-02 16:51:34.2, 12.98056, 2.677545, 200, 99.93384
2018-11-02 16:51:49.2, 12.8447, 2.678305, 200, 99.93799
2018-11-02 16:52:04.3, 12.52817, 2.680079, 200, 99.93018
2018-11-02 16:52:19.4, 12.51929, 2.680129, 200, 99.92432
2018-11-02 16:52:34.5, 12.34912, 2.681083, 200, 99.92505
2018-11-02 16:52:49.6, 12.0585, 2.682715, 200, 99.91992
2018-11-02 16:53:04.6, 11.84952, 2.68389, 200, 99.92285
2018-11-02 16:53:19.7, 11.65631, 2.684977, 200, 99.92627
2018-11-02 16:53:34.8, 11.48538, 2.685939, 200, 99.92578
2018-11-02 16:53:49.9, 11.29941, 2.686987, 200, 99.92529
2018-11-02 16:54:04.9, 11.13052, 2.68794, 200, 99.93164
2018-11-02 16:54:20.0, 10.88446, 2.689328, 200, 99.92212
2018-11-02 16:54:35.1, 10.74808, 2.690099, 200, 99.91992
2018-11-02 16:54:50.2, 10.53409, 2.691308, 200, 99.92554
2018-11-02 16:55:05.2, 10.26727, 2.692817, 200, 99.927
2018-11-02 16:55:20.3, 10.05801, 2.694003, 200, 99.92993
