Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-24 12:54:07.9, 13.52261, 2.359635, 200, 99.84644
2018-10-24 12:54:22.9, 13.38852, 2.360362, 200, 99.84741
2018-10-24 12:54:38.0, 13.28482, 2.360924, 200, 99.84766
2018-10-24 12:54:53.1, 13.25177, 2.361104, 200, 99.84497
2018-10-24 12:55:08.2, 13.1774, 2.361507, 200, 99.84839
2018-10-24 12:55:23.2, 13.20105, 2.361379, 200, 99.84863
2018-10-24 12:55:38.3, 13.29535, 2.360868, 200, 99.84985
2018-10-24 12:55:53.4, 13.31094, 2.360783, 200, 99.84863
2018-10-24 12:56:08.5, 13.11911, 2.361824, 200, 99.84717
2018-10-24 12:56:23.5, 13.26721, 2.36102, 200, 99.84961
2018-10-24 12:56:38.6, 13.37936, 2.360412, 200, 99.84814
2018-10-24 12:56:53.7, 13.29779, 2.360854, 200, 99.85156
2018-10-24 12:57:08.8, 13.07275, 2.362076, 200, 99.84692
2018-10-24 12:57:23.9, 13.13269, 2.36175, 200, 99.85181
2018-10-24 12:57:38.9, 13.06213, 2.362134, 200, 99.84863
2018-10-24 12:57:54.0, 12.96075, 2.362684, 200, 99.85132
2018-10-24 12:58:09.1, 12.68695, 2.364173, 200, 99.84497
2018-10-24 12:58:24.2, 13.05585, 2.362168, 200, 99.84497
2018-10-24 12:58:39.2, 12.74002, 2.363884, 200, 99.84668
2018-10-24 12:58:54.3, 12.83798, 2.363351, 200, 99.84717
2018-10-24 12:59:09.4, 12.5065, 2.365155, 200, 99.8479
2018-10-24 12:59:24.4, 12.87048, 2.363175, 200, 99.84912
2018-10-24 12:59:39.5, 12.49918, 2.365195, 200, 99.84692
2018-10-24 12:59:54.6, 12.45901, 2.365413, 200, 99.84546
2018-10-24 13:00:09.7, 12.45129, 2.365455, 200, 99.84644
2018-10-24 13:00:24.8, 12.32852, 2.366124, 200, 99.8457
2018-10-24 13:00:39.8, 12.11996, 2.367261, 200, 99.84546
2018-10-24 13:00:54.9, 11.98523, 2.367996, 200, 99.84937
2018-10-24 13:01:10.0, 11.95358, 2.368169, 200, 99.84717
2018-10-24 13:01:25.1, 12.10034, 2.367368, 200, 99.84277
2018-10-24 13:01:40.1, 12.05273, 2.367628, 200, 99.84448
2018-10-24 13:01:55.2, 11.75812, 2.369237, 200, 99.84595
2018-10-24 13:02:10.3, 11.90662, 2.368426, 200, 99.84814
2018-10-24 13:02:25.4, 12.3353, 2.366087, 200, 99.84863
