Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-05 12:28:51.5, 99.65747, 1.816339, 200, 100.7563
2018-10-05 12:28:52.6, 99.68982, 1.816228, 200, 100.7568
2018-10-05 12:28:53.7, 99.72449, 1.81611, 200, 100.7573
2018-10-05 12:28:54.8, 99.71704, 1.816135, 200, 100.7581
2018-10-05 12:28:55.9, 99.77374, 1.815941, 200, 100.7585
2018-10-05 12:28:57.0, 99.81, 1.815818, 200, 100.7571
2018-10-05 12:28:58.1, 99.76178, 1.815982, 200, 100.7576
2018-10-05 12:28:59.1, 99.72803, 1.816098, 200, 100.7585
2018-10-05 12:29:00.2, 99.755, 1.816005, 200, 100.7588
2018-10-05 12:29:01.3, 99.76959, 1.815956, 200, 100.7603
2018-10-05 12:29:02.4, 99.71796, 1.816132, 200, 100.7585
2018-10-05 12:29:03.4, 99.71454, 1.816144, 200, 100.7581
2018-10-05 12:29:04.5, 99.72333, 1.816114, 200, 100.7578
2018-10-05 12:29:05.6, 99.73267, 1.816082, 200, 100.7576
2018-10-05 12:29:06.6, 99.71106, 1.816156, 200, 100.7583
2018-10-05 12:29:07.7, 99.73798, 1.816064, 200, 100.7585
2018-10-05 12:29:08.8, 99.737, 1.816067, 200, 100.7566
2018-10-05 12:29:09.9, 99.66937, 1.816298, 200, 100.7568
2018-10-05 12:29:11.0, 99.63806, 1.816405, 200, 100.7568
2018-10-05 12:29:12.1, 99.64691, 1.816375, 200, 100.7571
2018-10-05 12:29:13.2, 99.62323, 1.816456, 200, 100.7571
2018-10-05 12:29:14.3, 99.64832, 1.81637, 200, 100.7563
2018-10-05 12:29:15.3, 99.63953, 1.8164, 200, 100.7566
2018-10-05 12:29:16.3, 99.67755, 1.81627, 200, 100.7556
2018-10-05 12:29:17.4, 99.6687, 1.816301, 200, 100.7549
2018-10-05 12:29:18.5, 99.59912, 1.816538, 200, 100.7544
2018-10-05 12:29:19.5, 99.63983, 1.816399, 200, 100.7554
2018-10-05 12:29:20.5, 99.63788, 1.816406, 200, 100.7556
2018-10-05 12:29:21.6, 99.69135, 1.816223, 200, 100.7561
2018-10-05 12:29:22.6, 99.70978, 1.81616, 200, 100.7566
2018-10-05 12:29:23.6, 99.64313, 1.816388, 200, 100.7571
2018-10-05 12:29:24.7, 99.63635, 1.816411, 200, 100.7563
2018-10-05 12:29:25.8, 99.52661, 1.816786, 200, 100.7563
2018-10-05 12:29:26.8, 99.50885, 1.816847, 200, 100.7566
