Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-05 12:28:45.4, 93.69421, 2.102293, 200, 100.0867
2018-10-05 12:28:46.5, 93.72565, 2.10221, 200, 100.0857
2018-10-05 12:28:47.5, 93.75293, 2.102138, 200, 100.0862
2018-10-05 12:28:48.6, 93.71149, 2.102247, 200, 100.0857
2018-10-05 12:28:49.6, 93.76154, 2.102115, 200, 100.0859
2018-10-05 12:28:50.7, 93.79034, 2.102039, 200, 100.0857
2018-10-05 12:28:51.7, 93.85425, 2.10187, 200, 100.085
2018-10-05 12:28:52.8, 93.90869, 2.101726, 200, 100.0845
2018-10-05 12:28:53.9, 93.867, 2.101836, 200, 100.0857
2018-10-05 12:28:55.0, 93.76428, 2.102108, 200, 100.0845
2018-10-05 12:28:56.1, 93.70239, 2.102271, 200, 100.0847
2018-10-05 12:28:57.2, 93.55634, 2.102658, 200, 100.084
2018-10-05 12:28:58.3, 93.48987, 2.102834, 200, 100.0823
2018-10-05 12:28:59.3, 93.57062, 2.10262, 200, 100.0815
2018-10-05 12:29:00.5, 93.46478, 2.102901, 200, 100.082
2018-10-05 12:29:01.6, 93.47723, 2.102867, 200, 100.0818
2018-10-05 12:29:02.7, 93.47113, 2.102884, 200, 100.082
2018-10-05 12:29:03.7, 93.47748, 2.102867, 200, 100.0825
2018-10-05 12:29:04.8, 93.6524, 2.102404, 200, 100.0835
2018-10-05 12:29:05.8, 93.71442, 2.10224, 200, 100.0857
2018-10-05 12:29:06.9, 93.67078, 2.102355, 200, 100.0859
2018-10-05 12:29:08.0, 93.71661, 2.102234, 200, 100.0869
2018-10-05 12:29:09.1, 93.77234, 2.102086, 200, 100.0881
2018-10-05 12:29:10.2, 93.86261, 2.101847, 200, 100.0881
2018-10-05 12:29:11.3, 93.78333, 2.102057, 200, 100.0881
2018-10-05 12:29:12.4, 93.87531, 2.101814, 200, 100.0872
2018-10-05 12:29:13.4, 93.85895, 2.101857, 200, 100.0869
2018-10-05 12:29:14.6, 93.86597, 2.101839, 200, 100.0876
2018-10-05 12:29:15.6, 93.82336, 2.101951, 200, 100.0864
2018-10-05 12:29:16.7, 93.87531, 2.101814, 200, 100.0862
2018-10-05 12:29:17.8, 93.83228, 2.101928, 200, 100.0862
2018-10-05 12:29:18.8, 93.82074, 2.101958, 200, 100.085
