Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-14 11:14:09.0, 96.98611, 2.267744, 200, 100.1643
2018-11-14 11:14:24.0, 97.17337, 2.266988, 200, 100.1626
2018-11-14 11:14:39.1, 97.19626, 2.266896, 200, 100.1614
2018-11-14 11:14:54.2, 97.38651, 2.266128, 200, 100.1638
2018-11-14 11:15:09.3, 97.50681, 2.265643, 200, 100.1604
2018-11-14 11:15:24.3, 97.5405, 2.265507, 200, 100.1597
2018-11-14 11:15:39.4, 97.48892, 2.265715, 200, 100.1563
2018-11-14 11:15:54.5, 97.57791, 2.265357, 200, 100.1621
2018-11-14 11:16:09.6, 97.61691, 2.265199, 200, 100.1587
2018-11-14 11:16:24.7, 97.42917, 2.265956, 200, 100.1514
2018-11-14 11:16:39.7, 97.41, 2.266034, 200, 100.1555
2018-11-14 11:16:54.8, 97.19443, 2.266903, 200, 100.1489
2018-11-14 11:17:09.9, 97.04605, 2.267502, 200, 100.1538
2018-11-14 11:17:24.9, 97.27377, 2.266583, 200, 100.1541
2018-11-14 11:17:40.0, 96.86594, 2.26823, 200, 100.1538
2018-11-14 11:17:55.1, 96.79654, 2.26851, 200, 100.1553
2018-11-14 11:18:10.2, 96.50034, 2.269708, 200, 100.1553
2018-11-14 11:18:25.3, 96.35672, 2.270289, 200, 100.1584
2018-11-14 11:18:40.3, 96.01407, 2.271677, 200, 100.1545
2018-11-14 11:18:55.4, 95.98459, 2.271797, 200, 100.1545
2018-11-14 11:19:10.5, 95.60574, 2.273334, 200, 100.1541
2018-11-14 11:19:25.6, 95.46146, 2.273919, 200, 100.1624
2018-11-14 11:19:40.6, 95.08182, 2.275462, 200, 100.1599
2018-11-14 11:19:55.7, 95.0889, 2.275433, 200, 100.1587
2018-11-14 11:20:10.8, 94.88101, 2.276279, 200, 100.1577
2018-11-14 11:20:25.9, 94.50742, 2.277801, 200, 100.1621
2018-11-14 11:20:40.9, 94.32425, 2.278547, 200, 100.1602
2018-11-14 11:20:56.0, 94.07407, 2.279568, 200, 100.1592
2018-11-14 11:21:11.0, 93.79385, 2.280712, 200, 100.1606
2018-11-14 11:21:26.1, 93.54465, 2.281731, 200, 100.1589
2018-11-14 11:21:41.1, 93.17612, 2.283238, 200, 100.1594
2018-11-14 11:21:56.2, 93.12546, 2.283446, 200, 100.1597
2018-11-14 11:22:11.3, 92.75528, 2.284963, 200, 100.1602
2018-11-14 11:22:26.4, 92.46591, 2.28615, 200, 100.1609
2018-11-14 11:22:41.5, 92.17068, 2.287363, 200, 100.1636
2018-11-14 11:22:56.5, 91.91324, 2.288421, 200, 100.1646
2018-11-14 11:23:11.6, 91.83572, 2.28874, 200, 100.1606
2018-11-14 11:23:26.7, 91.56607, 2.28985, 200, 100.1609
2018-11-14 11:23:41.7, 91.17453, 2.291463, 200, 100.1606
2018-11-14 11:23:56.8, 90.90164, 2.292589, 200, 100.1582
2018-11-14 11:24:11.9, 90.82376, 2.292911, 200, 100.1594
2018-11-14 11:24:27.0, 90.39841, 2.294669, 200, 100.1682
2018-11-14 11:24:42.1, 90.25613, 2.295257, 200, 100.1633
2018-11-14 11:24:57.1, 89.89297, 2.296761, 200, 100.1626
2018-11-14 11:25:12.2, 89.59732, 2.297987, 200, 100.1624
2018-11-14 11:25:27.3, 89.50137, 2.298384, 200, 100.1685
2018-11-14 11:25:42.4, 89.1666, 2.299774, 200, 100.168
2018-11-14 11:25:57.4, 88.8959, 2.300899, 200, 100.1689
2018-11-14 11:26:12.5, 88.7869, 2.301353, 200, 100.1665
2018-11-14 11:26:27.6, 88.34012, 2.303213, 200, 100.1641
2018-11-14 11:26:42.7, 88.10684, 2.304185, 200, 100.1685
2018-11-14 11:26:57.7, 87.88602, 2.305106, 200, 100.1653
2018-11-14 11:27:12.8, 87.61819, 2.306224, 200, 100.1709
2018-11-14 11:27:27.9, 87.3425, 2.307377, 200, 100.1685
2018-11-14 11:27:43.0, 87.08286, 2.308463, 200, 100.1663
2018-11-14 11:27:58.0, 86.81937, 2.309566, 200, 100.1709
2018-11-14 11:28:13.1, 86.53769, 2.310747, 200, 100.1687
2018-11-14 11:28:28.2, 86.24118, 2.311991, 200, 100.1716
2018-11-14 11:28:43.3, 85.96976, 2.313131, 200, 100.1699
2018-11-14 11:28:58.4, 85.52982, 2.314981, 200, 100.167
2018-11-14 11:29:13.4, 85.43942, 2.315362, 200, 100.1738
2018-11-14 11:29:28.5, 85.2186, 2.316292, 200, 100.1697
