Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-19 11:40:05.9, 99.76486, 2.298532, 200, 100.4871
2018-10-19 11:40:21.0, 99.83823, 2.298229, 200, 100.4819
2018-10-19 11:40:36.1, 99.74496, 2.298615, 200, 100.4866
2018-10-19 11:40:51.2, 99.62479, 2.299113, 200, 100.4917
2018-10-19 11:41:06.3, 99.72458, 2.2987, 200, 100.4946
2018-10-19 11:41:21.4, 99.7482, 2.298602, 200, 100.4873
2018-10-19 11:41:36.4, 99.65543, 2.298986, 200, 100.4915
2018-10-19 11:41:51.5, 99.54922, 2.299427, 200, 100.4888
2018-10-19 11:42:06.6, 99.52151, 2.299541, 200, 100.4893
2018-10-19 11:42:21.6, 99.42545, 2.29994, 200, 100.4915
2018-10-19 11:42:36.7, 99.60745, 2.299185, 200, 100.4861
2018-10-19 11:42:51.8, 99.39059, 2.300084, 200, 100.4973
2018-10-19 11:43:06.9, 99.36252, 2.300201, 200, 100.4915
2018-10-19 11:43:22.0, 99.23282, 2.30074, 200, 100.4929
2018-10-19 11:43:37.0, 99.1459, 2.3011, 200, 100.4917
2018-10-19 11:43:52.1, 99.06436, 2.301439, 200, 100.4919
2018-10-19 11:44:07.2, 98.93796, 2.301964, 200, 100.4949
2018-10-19 11:44:22.2, 98.70511, 2.302933, 200, 100.4927
2018-10-19 11:44:37.3, 98.70108, 2.302949, 200, 100.4897
2018-10-19 11:44:52.4, 98.49228, 2.303818, 200, 100.4878
2018-10-19 11:45:07.5, 98.32748, 2.304504, 200, 100.4915
2018-10-19 11:45:22.6, 98.18826, 2.305084, 200, 100.49
2018-10-19 11:45:37.6, 98.02353, 2.305771, 200, 100.4922
2018-10-19 11:45:52.7, 98.02347, 2.305771, 200, 100.4954
2018-10-19 11:46:07.8, 97.90311, 2.306273, 200, 100.4944
2018-10-19 11:46:22.9, 97.59189, 2.307572, 200, 100.4924
2018-10-19 11:46:37.9, 97.55679, 2.307719, 200, 100.4919
2018-10-19 11:46:53.0, 97.33151, 2.308661, 200, 100.4912
2018-10-19 11:47:08.1, 97.34213, 2.308616, 200, 100.4929
2018-10-19 11:47:23.2, 97.11832, 2.309552, 200, 100.4976
2018-10-19 11:47:38.2, 97.03683, 2.309893, 200, 100.4954
2018-10-19 11:47:53.3, 96.6868, 2.311359, 200, 100.4949
2018-10-19 11:48:08.4, 96.68808, 2.311353, 200, 100.4939
