Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
39:09.0,98.31854,2.272219,200,99.20117
39:24.1,98.42676,2.271783,200,99.19116
39:39.2,98.51715,2.271419,200,99.18896
39:54.2,98.36798,2.27202,200,99.19312
40:09.3,98.37036,2.272011,200,99.19287
40:24.4,98.39691,2.271904,200,99.19336
40:39.5,98.25238,2.272486,200,99.19629
40:54.6,98.3595,2.272054,200,99.19458
41:09.6,98.2135,2.272643,200,99.18799
41:24.7,98.16376,2.272843,200,99.19849
41:39.8,97.9566,2.273679,200,99.19458
41:54.9,97.71436,2.274657,200,99.19019
42:09.9,97.76221,2.274464,200,99.19116
42:25.0,97.42419,2.27583,200,99.19043
42:40.1,97.37103,2.276045,200,99.18799
42:55.2,97.36462,2.276071,200,99.19824
43:10.2,97.07648,2.277237,200,99.19946
43:25.3,96.87463,2.278054,200,99.19849
43:40.4,96.66473,2.278905,200,99.19312
43:55.5,96.47595,2.279671,200,99.20532
44:10.6,96.11133,2.281151,200,99.19775
44:25.6,95.92603,2.281904,200,99.18506
44:40.8,95.55206,2.283425,200,99.20166
44:55.8,95.42877,2.283927,200,99.2002
45:10.8,95.36505,2.284186,200,99.19849
45:25.9,94.97961,2.285758,200,99.19287
45:41.0,94.6734,2.287007,200,99.19702
45:56.1,94.36816,2.288254,200,99.19019
46:11.1,94.31262,2.288481,200,99.18921
46:26.2,93.98883,2.289806,200,99.20044
46:41.3,93.80164,2.290572,200,99.20459
46:56.4,93.46149,2.291967,200,99.19189
47:11.4,93.25946,2.292795,200,99.19751
47:26.5,92.90509,2.29425,200,99.1958
47:41.6,92.62689,2.295394,200,99.1853
47:56.7,92.46466,2.296062,200,99.20117
48:11.7,92.20575,2.297128,200,99.19409
48:26.8,92.01099,2.29793,200,99.19019
48:41.9,91.81604,2.298734,200,99.21289
48:57.0,91.62805,2.29951,200,99.20093
49:12.1,91.38196,2.300527,200,99.19897
49:27.1,91.05188,2.301891,200,99.19971
49:42.2,91.06403,2.301841,200,99.1958
49:57.3,90.71088,2.303303,200,99.19824
50:12.4,90.53827,2.304018,200,99.20288
50:27.4,90.26727,2.305141,200,99.20093
50:42.5,89.85858,2.306838,200,99.20996
50:57.6,89.68329,2.307567,200,99.20532
51:12.7,89.45514,2.308515,200,99.20264
51:27.7,89.14185,2.30982,200,99.20825
51:42.8,89.06512,2.310139,200,99.21167
51:57.9,88.7749,2.311349,200,99.20654
52:13.0,88.62201,2.311987,200,99.20923
52:28.0,88.36487,2.31306,200,99.20972
52:43.1,88.12048,2.314081,200,99.21143
52:58.2,87.92419,2.314902,200,99.21411
53:13.3,87.70331,2.315827,200,99.21436
53:28.3,87.56244,2.316417,200,99.21948
53:43.4,87.23499,2.317789,200,99.21973
53:58.5,86.95032,2.318984,200,99.20654
54:13.6,86.87848,2.319285,200,99.20801
54:28.6,86.63434,2.320311,200,99.21997
54:43.7,86.3075,2.321686,200,99.21948
54:58.8,86.16089,2.322303,200,99.21045
55:13.9,85.98529,2.323042,200,99.21753
55:29.0,85.89185,2.323436,200,99.21973
55:44.0,85.43689,2.325355,200,99.22363
55:59.1,85.31427,2.325873,200,99.22119
56:14.2,84.98383,2.327269,200,99.22607
56:29.2,84.95886,2.327375,200,99.21948
56:44.3,84.77136,2.328168,200,99.21143
56:59.4,84.4325,2.329602,200,99.21289
57:14.5,84.21521,2.330524,200,99.21851
57:29.6,84.03839,2.331274,200,99.2207
57:44.6,83.8371,2.332128,200,99.229
57:59.7,83.65424,2.332905,200,99.2229
58:14.8,83.35645,2.334171,200,99.21802
58:29.9,83.23218,2.334699,200,99.21606
58:44.9,83.01697,2.335615,200,99.21704
59:00.0,82.79462,2.336563,200,99.22607
59:15.1,82.58398,2.337461,200,99.2207
59:30.2,82.3894,2.338291,200,99.21606
59:45.2,82.24554,2.338905,200,99.22534
00:00.3,81.99738,2.339966,200,99.2229
00:15.4,81.76776,2.340948,200,99.21826
00:30.5,81.59222,2.341699,200,99.22583
00:45.5,81.367,2.342663,200,99.21533
01:00.6,81.24725,2.343177,200,99.22852
01:15.7,81.05847,2.343986,200,99.22705
01:30.8,80.85095,2.344877,200,99.23682
01:45.9,80.7392,2.345356,200,99.22632
02:00.9,80.46552,2.346532,200,99.22754
02:15.9,80.31909,2.347162,200,99.22949
02:31.0,80.02783,2.348415,200,99.22974
02:46.1,79.95441,2.348731,200,99.21997
03:01.1,79.72394,2.349724,200,99.22974
03:16.2,79.49438,2.350714,200,99.22412
03:31.3,79.3172,2.351479,200,99.22461
03:46.3,79.11914,2.352334,200,99.229
04:01.4,78.7558,2.353904,200,99.21899
04:16.5,78.67969,2.354234,200,99.23755
04:31.6,78.45612,2.355202,200,99.22437
04:46.7,78.255,2.356073,200,99.23486
05:01.7,78.07593,2.356849,200,99.23657
05:16.8,77.87769,2.357709,200,99.22461
05:31.9,77.69275,2.358512,200,99.22583
05:47.0,77.5802,2.359001,200,99.2395
06:02.0,77.30261,2.360207,200,99.23779
06:17.1,77.21924,2.36057,200,99.22583
06:32.2,77.03967,2.361351,200,99.23999
06:47.3,76.83899,2.362225,200,99.2312
07:02.3,76.69995,2.362831,200,99.23755
07:17.4,76.39191,2.364175,200,99.2312
07:32.5,76.21783,2.364934,200,99.23047
07:47.6,76.00531,2.365863,200,99.23999
08:02.6,75.87939,2.366413,200,99.23389
08:17.7,75.63916,2.367464,200,99.23535
08:32.8,75.41364,2.368451,200,99.23462
08:47.9,75.18872,2.369437,200,99.24292
09:02.9,75.06079,2.369997,200,99.23999
09:18.0,74.74933,2.371364,200,99.23193
09:33.1,74.63806,2.371852,200,99.24561
09:48.2,74.41644,2.372826,200,99.25024
10:03.3,74.27032,2.373468,200,99.24194
10:18.3,73.92963,2.374968,200,99.25073
10:33.4,73.94794,2.374887,200,99.24365
10:48.5,73.62714,2.3763,200,99.24878
11:03.6,73.51898,2.376777,200,99.24414
11:18.6,73.24774,2.377974,200,99.2439
11:33.7,73.07257,2.378748,200,99.25537
11:48.8,72.85748,2.379698,200,99.24902
12:03.9,72.66864,2.380533,200,99.25708
12:18.9,72.36877,2.381861,200,99.26294
12:34.0,72.10327,2.383037,200,99.25464
12:49.1,71.89478,2.383962,200,99.25366
