Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-10-26 11:46:29.9, 97.71774, 2.291678, 200, 99.35913
2018-10-26 11:46:44.9, 97.86105, 2.291096, 200, 99.3584
2018-10-26 11:47:00.0, 97.82632, 2.291237, 200, 99.3584
2018-10-26 11:47:15.1, 97.82205, 2.291254, 200, 99.35669
2018-10-26 11:47:30.2, 97.75314, 2.291534, 200, 99.35547
2018-10-26 11:47:45.2, 97.79788, 2.291353, 200, 99.35571
2018-10-26 11:48:00.3, 97.74265, 2.291577, 200, 99.35376
2018-10-26 11:48:15.4, 97.7142, 2.291692, 200, 99.3562
2018-10-26 11:48:30.5, 97.66202, 2.291904, 200, 99.35693
2018-10-26 11:48:45.5, 97.45615, 2.29274, 200, 99.35718
2018-10-26 11:49:00.6, 97.46463, 2.292706, 200, 99.35815
2018-10-26 11:49:15.7, 97.39243, 2.293, 200, 99.35547
2018-10-26 11:49:30.8, 97.19211, 2.293814, 200, 99.35986
2018-10-26 11:49:45.9, 97.14639, 2.294, 200, 99.35352
2018-10-26 11:50:00.9, 97.1091, 2.294151, 200, 99.35718
2018-10-26 11:50:15.9, 96.87894, 2.295088, 200, 99.354
2018-10-26 11:50:31.0, 96.69571, 2.295835, 200, 99.35571
2018-10-26 11:50:46.1, 96.65817, 2.295987, 200, 99.35596
2018-10-26 11:51:01.2, 96.48489, 2.296694, 200, 99.35352
2018-10-26 11:51:16.2, 96.371, 2.297158, 200, 99.35547
2018-10-26 11:51:31.3, 96.02133, 2.298585, 200, 99.35156
2018-10-26 11:51:46.3, 95.9664, 2.29881, 200, 99.35254
2018-10-26 11:52:01.4, 95.74411, 2.299719, 200, 99.35278
2018-10-26 11:52:16.5, 95.57773, 2.300399, 200, 99.35376
2018-10-26 11:52:31.6, 95.4028, 2.301115, 200, 99.35791
2018-10-26 11:52:46.6, 95.34427, 2.301354, 200, 99.35303
2018-10-26 11:53:01.7, 95.10873, 2.302319, 200, 99.35742
2018-10-26 11:53:16.8, 94.85196, 2.303372, 200, 99.35596
2018-10-26 11:53:31.9, 94.77982, 2.303668, 200, 99.35278
2018-10-26 11:53:47.0, 94.65042, 2.304199, 200, 99.35669
2018-10-26 11:54:02.0, 94.33224, 2.305505, 200, 99.35791
2018-10-26 11:54:17.1, 94.12314, 2.306365, 200, 99.35571
2018-10-26 11:54:32.2, 94.00961, 2.306832, 200, 99.35889
2018-10-26 11:54:47.3, 93.68637, 2.308162, 200, 99.35938
2018-10-26 11:55:02.3, 93.47214, 2.309045, 200, 99.3606
2018-10-26 11:55:17.4, 93.37454, 2.309447, 200, 99.35864
2018-10-26 11:55:32.5, 93.10684, 2.310551, 200, 99.35913
2018-10-26 11:55:47.6, 92.81717, 2.311747, 200, 99.35938
2018-10-26 11:56:02.6, 92.71866, 2.312154, 200, 99.35986
2018-10-26 11:56:17.7, 92.366, 2.313613, 200, 99.36328
2018-10-26 11:56:32.8, 92.23813, 2.314142, 200, 99.36084
2018-10-26 11:56:47.9, 92.06973, 2.314839, 200, 99.35791
2018-10-26 11:57:03.0, 91.71652, 2.316303, 200, 99.35962
2018-10-26 11:57:18.0, 91.46976, 2.317327, 200, 99.36011
2018-10-26 11:57:33.1, 91.17215, 2.318563, 200, 99.36108
2018-10-26 11:57:48.2, 91.02249, 2.319185, 200, 99.3606
2018-10-26 11:58:03.2, 90.83163, 2.319979, 200, 99.3606
2018-10-26 11:58:18.3, 90.60464, 2.320924, 200, 99.36206
2018-10-26 11:58:33.4, 90.27396, 2.322302, 200, 99.35791
2018-10-26 11:58:48.5, 90.10074, 2.323024, 200, 99.36572
2018-10-26 11:59:03.6, 89.94223, 2.323685, 200, 99.36108
2018-10-26 11:59:18.6, 89.58176, 2.325191, 200, 99.36011
2018-10-26 11:59:33.7, 89.51602, 2.325466, 200, 99.36011
2018-10-26 11:59:48.8, 89.17038, 2.326912, 200, 99.36011
2018-10-26 12:00:03.8, 88.97916, 2.327712, 200, 99.36011
2018-10-26 12:00:18.9, 88.76382, 2.328614, 200, 99.36011
2018-10-26 12:00:34.0, 88.62466, 2.329198, 200, 99.36133
2018-10-26 12:00:49.1, 88.29086, 2.330599, 200, 99.36328
2018-10-26 12:01:04.2, 88.07144, 2.331521, 200, 99.36255
2018-10-26 12:01:19.2, 87.8591, 2.332413, 200, 99.36133
2018-10-26 12:01:34.3, 87.64334, 2.333321, 200, 99.36157
2018-10-26 12:01:49.4, 87.31479, 2.334704, 200, 99.3562
2018-10-26 12:02:04.5, 87.18039, 2.335271, 200, 99.36011
2018-10-26 12:02:19.5, 86.99826, 2.336039, 200, 99.35913
2018-10-26 12:02:34.6, 86.68338, 2.337368, 200, 99.3623
2018-10-26 12:02:49.7, 86.48904, 2.338189, 200, 99.36206
2018-10-26 12:03:04.7, 86.42783, 2.338448, 200, 99.36011
2018-10-26 12:03:19.8, 86.10947, 2.339794, 200, 99.36182
2018-10-26 12:03:34.9, 85.90732, 2.34065, 200, 99.3606
2018-10-26 12:03:50.0, 85.63071, 2.341822, 200, 99.3584
2018-10-26 12:04:05.1, 85.54025, 2.342206, 200, 99.35962
2018-10-26 12:04:20.1, 85.3212, 2.343135, 200, 99.35742
2018-10-26 12:04:35.2, 85.03799, 2.344337, 200, 99.35913
2018-10-26 12:04:50.3, 84.68192, 2.345851, 200, 99.36133
2018-10-26 12:05:05.4, 84.66544, 2.345921, 200, 99.35938
2018-10-26 12:05:20.5, 84.35312, 2.347251, 200, 99.36035
2018-10-26 12:05:35.5, 84.22147, 2.347812, 200, 99.35742
2018-10-26 12:05:50.6, 84.0336, 2.348612, 200, 99.3606
2018-10-26 12:06:05.7, 83.83701, 2.349451, 200, 99.35938
2018-10-26 12:06:20.8, 83.4512, 2.351098, 200, 99.35864
2018-10-26 12:06:35.8, 83.42599, 2.351206, 200, 99.3584
2018-10-26 12:06:50.9, 82.92154, 2.353364, 200, 99.35889
2018-10-26 12:07:06.0, 82.87796, 2.35355, 200, 99.36011
2018-10-26 12:07:21.0, 82.73019, 2.354183, 200, 99.36182
2018-10-26 12:07:36.1, 82.36264, 2.355759, 200, 99.36035
2018-10-26 12:07:51.2, 82.37051, 2.355725, 200, 99.35864
2018-10-26 12:08:06.3, 82.02866, 2.357193, 200, 99.36108
2018-10-26 12:08:21.4, 81.71573, 2.358538, 200, 99.36108
2018-10-26 12:08:36.4, 81.56772, 2.359174, 200, 99.35986
2018-10-26 12:08:51.5, 81.50912, 2.359426, 200, 99.3606
2018-10-26 12:09:06.6, 81.14346, 2.361001, 200, 99.35864
2018-10-26 12:09:21.7, 80.85739, 2.362234, 200, 99.3584
2018-10-26 12:09:36.7, 80.74789, 2.362707, 200, 99.36011
2018-10-26 12:09:51.8, 80.4202, 2.364122, 200, 99.36133
2018-10-26 12:10:06.9, 80.38376, 2.364279, 200, 99.35986
2018-10-26 12:10:22.0, 80.09769, 2.365516, 200, 99.36182
2018-10-26 12:10:37.0, 79.87906, 2.366462, 200, 99.35986
2018-10-26 12:10:52.1, 79.65451, 2.367435, 200, 99.3606
2018-10-26 12:11:07.2, 79.44376, 2.368348, 200, 99.35913
2018-10-26 12:11:22.3, 79.21677, 2.369333, 200, 99.36182
2018-10-26 12:11:37.3, 79.11508, 2.369774, 200, 99.36084
2018-10-26 12:11:52.3, 78.83493, 2.370991, 200, 99.36035
2018-10-26 12:12:07.4, 78.61435, 2.37195, 200, 99.36108
2018-10-26 12:12:22.5, 78.52628, 2.372333, 200, 99.35815
2018-10-26 12:12:37.5, 78.25644, 2.373507, 200, 99.3562
2018-10-26 12:12:52.6, 78.00705, 2.374594, 200, 99.36255
2018-10-26 12:13:07.7, 77.80557, 2.375473, 200, 99.35986
2018-10-26 12:13:22.8, 77.71945, 2.375848, 200, 99.35889
2018-10-26 12:13:37.9, 77.38821, 2.377294, 200, 99.35962
2018-10-26 12:13:52.9, 77.25906, 2.377859, 200, 99.35767
2018-10-26 12:14:08.0, 77.01187, 2.37894, 200, 99.3606
2018-10-26 12:14:23.1, 76.7421, 2.380121, 200, 99.35693
2018-10-26 12:14:38.2, 76.54904, 2.380966, 200, 99.35669
2018-10-26 12:14:53.2, 76.40683, 2.381589, 200, 99.36157
2018-10-26 12:15:08.3, 76.1904, 2.382539, 200, 99.35645
2018-10-26 12:15:23.4, 75.94327, 2.383624, 200, 99.3562
2018-10-26 12:15:38.4, 75.76547, 2.384405, 200, 99.35815
2018-10-26 12:15:53.5, 75.45383, 2.385776, 200, 99.35913
2018-10-26 12:16:08.6, 75.20859, 2.386855, 200, 99.36108
2018-10-26 12:16:23.7, 75.13742, 2.387168, 200, 99.35864
2018-10-26 12:16:38.8, 74.85477, 2.388414, 200, 99.36279
2018-10-26 12:16:53.8, 74.66879, 2.389235, 200, 99.36108
2018-10-26 12:17:08.9, 74.55557, 2.389734, 200, 99.36328
2018-10-26 12:17:24.0, 74.28568, 2.390926, 200, 99.3584
2018-10-26 12:17:39.1, 73.90945, 2.39259, 200, 99.36255
2018-10-26 12:17:54.2, 73.85934, 2.392812, 200, 99.36328
2018-10-26 12:18:09.2, 73.57089, 2.394089, 200, 99.36255
2018-10-26 12:18:24.3, 73.34604, 2.395086, 200, 99.36304
2018-10-26 12:18:39.4, 73.16556, 2.395887, 200, 99.35913
2018-10-26 12:18:54.4, 72.86978, 2.3972, 200, 99.36255
2018-10-26 12:19:09.5, 72.68106, 2.398038, 200, 99.36377
2018-10-26 12:19:24.6, 72.37381, 2.399405, 200, 99.3645
2018-10-26 12:19:39.7, 72.25528, 2.399933, 200, 99.36182
2018-10-26 12:19:54.8, 72.07797, 2.400722, 200, 99.36255
2018-10-26 12:20:09.8, 71.70016, 2.402407, 200, 99.36377
2018-10-26 12:20:24.9, 71.41885, 2.403662, 200, 99.36499
2018-10-26 12:20:40.0, 71.12888, 2.404958, 200, 99.36084
2018-10-26 12:20:55.1, 71.00845, 2.405497, 200, 99.3606
2018-10-26 12:21:10.1, 70.79263, 2.406462, 200, 99.36084
2018-10-26 12:21:25.2, 70.5289, 2.407644, 200, 99.36206
2018-10-26 12:21:40.3, 70.35086, 2.408442, 200, 99.36108
2018-10-26 12:21:55.3, 70.10318, 2.409553, 200, 99.36377
2018-10-26 12:22:10.4, 69.87399, 2.410582, 200, 99.3623
2018-10-26 12:22:25.5, 69.6218, 2.411715, 200, 99.36108
2018-10-26 12:22:40.6, 69.28714, 2.413221, 200, 99.35815
2018-10-26 12:22:55.7, 69.18674, 2.413673, 200, 99.35913
2018-10-26 12:23:10.7, 68.91409, 2.414902, 200, 99.36182
2018-10-26 12:23:25.8, 68.66525, 2.416024, 200, 99.36182
2018-10-26 12:23:40.9, 68.44937, 2.416998, 200, 99.36353
2018-10-26 12:23:56.0, 68.31271, 2.417616, 200, 99.36255
2018-10-26 12:24:11.0, 67.86551, 2.419638, 200, 99.35962
2018-10-26 12:24:26.1, 67.80893, 2.419894, 200, 99.36108
2018-10-26 12:24:41.2, 67.5535, 2.421051, 200, 99.36475
2018-10-26 12:24:56.3, 67.30685, 2.422169, 200, 99.36621
2018-10-26 12:25:11.3, 67.1561, 2.422853, 200, 99.36157
2018-10-26 12:25:26.4, 66.88724, 2.424073, 200, 99.36206
2018-10-26 12:25:41.5, 66.57773, 2.42548, 200, 99.36011
2018-10-26 12:25:56.6, 66.41428, 2.426224, 200, 99.36572
2018-10-26 12:26:11.7, 66.08566, 2.42772, 200, 99.36475
2018-10-26 12:26:26.7, 65.85092, 2.42879, 200, 99.36548
2018-10-26 12:26:41.8, 65.72574, 2.429361, 200, 99.36548
2018-10-26 12:26:56.9, 65.45828, 2.430582, 200, 99.36279
2018-10-26 12:27:12.0, 65.29202, 2.431341, 200, 99.36279
2018-10-26 12:27:27.0, 65.04855, 2.432454, 200, 99.3645
2018-10-26 12:27:42.1, 64.77725, 2.433696, 200, 99.36499
2018-10-26 12:27:57.2, 64.53641, 2.434799, 200, 99.36768
2018-10-26 12:28:12.3, 64.35141, 2.435647, 200, 99.36328
2018-10-26 12:28:27.3, 64.30478, 2.435861, 200, 99.36523
2018-10-26 12:28:42.4, 64.03592, 2.437095, 200, 99.36206
2018-10-26 12:28:57.5, 63.81827, 2.438095, 200, 99.36475
2018-10-26 12:29:12.5, 63.67636, 2.438747, 200, 99.36377
2018-10-26 12:29:27.5, 63.33212, 2.440331, 200, 99.36377
2018-10-26 12:29:42.6, 63.14291, 2.441202, 200, 99.36523
2018-10-26 12:29:57.6, 62.94766, 2.442102, 200, 99.36621
2018-10-26 12:30:12.7, 62.7319, 2.443097, 200, 99.36353
2018-10-26 12:30:27.7, 62.54745, 2.443948, 200, 99.36572
2018-10-26 12:30:42.8, 62.49515, 2.44419, 200, 99.36523
2018-10-26 12:30:57.9, 62.2233, 2.445446, 200, 99.3689
2018-10-26 12:31:13.0, 61.95255, 2.446698, 200, 99.3667
2018-10-26 12:31:28.0, 61.89304, 2.446974, 200, 99.36719
2018-10-26 12:31:43.1, 61.64951, 2.448101, 200, 99.37109
2018-10-26 12:31:58.2, 61.54391, 2.448591, 200, 99.36841
2018-10-26 12:32:13.3, 61.21469, 2.450117, 200, 99.36914
2018-10-26 12:32:28.3, 60.98843, 2.451168, 200, 99.36792
2018-10-26 12:32:43.4, 60.79849, 2.45205, 200, 99.36646
2018-10-26 12:32:58.5, 60.5217, 2.453337, 200, 99.36572
2018-10-26 12:33:13.6, 60.39658, 2.45392, 200, 99.36768
2018-10-26 12:33:28.7, 60.17551, 2.454949, 200, 99.36523
2018-10-26 12:33:43.7, 59.95517, 2.455976, 200, 99.36694
2018-10-26 12:33:58.8, 59.78568, 2.456767, 200, 99.36621
2018-10-26 12:34:13.9, 59.51584, 2.458026, 200, 99.36719
2018-10-26 12:34:29.0, 59.40762, 2.458532, 200, 99.36914
2018-10-26 12:34:44.0, 59.1514, 2.45973, 200, 99.36499
2018-10-26 12:34:59.1, 58.94095, 2.460714, 200, 99.36987
2018-10-26 12:35:14.2, 58.66501, 2.462007, 200, 99.36792
2018-10-26 12:35:29.3, 58.53629, 2.46261, 200, 99.36646
2018-10-26 12:35:44.3, 58.3674, 2.463402, 200, 99.36743
2018-10-26 12:35:59.4, 58.19559, 2.464208, 200, 99.36743
2018-10-26 12:36:14.5, 57.91708, 2.465516, 200, 99.36548
2018-10-26 12:36:29.6, 57.8447, 2.465856, 200, 99.36914
2018-10-26 12:36:44.6, 57.61636, 2.46693, 200, 99.36646
2018-10-26 12:36:59.6, 57.31137, 2.468366, 200, 99.3645
2018-10-26 12:37:14.7, 57.13156, 2.469213, 200, 99.36792
2018-10-26 12:37:29.8, 56.87411, 2.470427, 200, 99.36694
2018-10-26 12:37:44.9, 56.69534, 2.471271, 200, 99.36401
2018-10-26 12:37:59.9, 56.49619, 2.472211, 200, 99.37061
2018-10-26 12:38:15.0, 56.30405, 2.473119, 200, 99.36938
2018-10-26 12:38:30.1, 56.17123, 2.473747, 200, 99.36987
2018-10-26 12:38:45.1, 56.01431, 2.47449, 200, 99.36768
2018-10-26 12:39:00.2, 55.75119, 2.475736, 200, 99.36987
2018-10-26 12:39:15.3, 55.44278, 2.477198, 200, 99.36719
2018-10-26 12:39:30.4, 55.29422, 2.477903, 200, 99.37036
2018-10-26 12:39:45.5, 55.10178, 2.478817, 200, 99.36792
2018-10-26 12:40:00.5, 54.93387, 2.479614, 200, 99.36743
2018-10-26 12:40:15.6, 54.78824, 2.480307, 200, 99.36523
2018-10-26 12:40:30.7, 54.5629, 2.481379, 200, 99.36841
2018-10-26 12:40:45.8, 54.35501, 2.482369, 200, 99.37158
2018-10-26 12:41:00.8, 54.20822, 2.483068, 200, 99.36719
2018-10-26 12:41:15.9, 54.04019, 2.48387, 200, 99.36865
2018-10-26 12:41:31.0, 53.9072, 2.484504, 200, 99.36792
2018-10-26 12:41:46.1, 53.79422, 2.485043, 200, 99.36914
2018-10-26 12:42:01.1, 53.42715, 2.486797, 200, 99.36865
2018-10-26 12:42:16.2, 53.35751, 2.48713, 200, 99.36963
2018-10-26 12:42:31.3, 53.09573, 2.488382, 200, 99.36841
2018-10-26 12:42:46.4, 52.95901, 2.489037, 200, 99.37183
2018-10-26 12:43:01.5, 52.66922, 2.490425, 200, 99.36938
2018-10-26 12:43:16.5, 52.59811, 2.490766, 200, 99.37231
2018-10-26 12:43:31.6, 52.40164, 2.491709, 200, 99.37012
2018-10-26 12:43:46.7, 52.16916, 2.492825, 200, 99.3667
2018-10-26 12:44:01.8, 51.94632, 2.493896, 200, 99.3728
2018-10-26 12:44:16.8, 51.77206, 2.494734, 200, 99.37378
2018-10-26 12:44:31.9, 51.6423, 2.495358, 200, 99.37231
2018-10-26 12:44:47.0, 51.35355, 2.496749, 200, 99.36987
2018-10-26 12:45:02.0, 51.2139, 2.497422, 200, 99.37329
2018-10-26 12:45:17.0, 50.97891, 2.498556, 200, 99.37158
2018-10-26 12:45:32.1, 50.81949, 2.499326, 200, 99.37817
2018-10-26 12:45:47.2, 50.66025, 2.500094, 200, 99.3772
2018-10-26 12:46:02.2, 50.45926, 2.501066, 200, 99.3772
2018-10-26 12:46:17.3, 50.20712, 2.502286, 200, 99.3772
2018-10-26 12:46:32.4, 50.0798, 2.502902, 200, 99.37646
2018-10-26 12:46:47.5, 49.81387, 2.504191, 200, 99.37695
2018-10-26 12:47:02.5, 49.64389, 2.505015, 200, 99.37402
2018-10-26 12:47:17.6, 49.3793, 2.506299, 200, 99.37451
2018-10-26 12:47:32.7, 49.22604, 2.507043, 200, 99.37842
2018-10-26 12:47:47.8, 49.05917, 2.507854, 200, 99.37769
2018-10-26 12:48:02.9, 48.8978, 2.50864, 200, 99.37524
2018-10-26 12:48:17.9, 48.62485, 2.509968, 200, 99.37451
2018-10-26 12:48:33.0, 48.52859, 2.510437, 200, 99.37451
2018-10-26 12:48:48.1, 48.22134, 2.511935, 200, 99.37354
2018-10-26 12:49:03.2, 47.98148, 2.513105, 200, 99.37646
2018-10-26 12:49:18.2, 47.78378, 2.514071, 200, 99.37109
2018-10-26 12:49:33.3, 47.68753, 2.514541, 200, 99.375
2018-10-26 12:49:48.4, 47.43094, 2.515796, 200, 99.37378
2018-10-26 12:50:03.5, 47.22086, 2.516824, 200, 99.37524
2018-10-26 12:50:18.5, 47.08011, 2.517513, 200, 99.3728
2018-10-26 12:50:33.6, 46.81491, 2.518813, 200, 99.37183
2018-10-26 12:50:48.7, 46.58316, 2.51995, 200, 99.37598
2018-10-26 12:51:03.8, 46.50424, 2.520338, 200, 99.37305
2018-10-26 12:51:18.8, 46.18283, 2.521917, 200, 99.37671
2018-10-26 12:51:33.8, 46.03824, 2.522629, 200, 99.37158
2018-10-26 12:51:48.9, 45.85098, 2.52355, 200, 99.37866
2018-10-26 12:52:04.0, 45.55405, 2.525012, 200, 99.37598
2018-10-26 12:52:19.0, 45.52652, 2.525148, 200, 99.37671
2018-10-26 12:52:34.1, 45.1268, 2.52712, 200, 99.38013
2018-10-26 12:52:49.2, 44.95462, 2.52797, 200, 99.38062
2018-10-26 12:53:04.3, 44.78479, 2.528809, 200, 99.37817
2018-10-26 12:53:19.3, 44.60519, 2.529698, 200, 99.37671
2018-10-26 12:53:34.4, 44.3754, 2.530835, 200, 99.38574
2018-10-26 12:53:49.5, 44.13467, 2.532027, 200, 99.38135
2018-10-26 12:54:04.6, 44.03696, 2.532512, 200, 99.38281
2018-10-26 12:54:19.6, 43.74054, 2.533982, 200, 99.38525
2018-10-26 12:54:34.7, 43.56677, 2.534845, 200, 99.38062
