po2,do_percentSat,mo2_ms
152.1979,95.6133,1.685106383
146.9135,92.2935,1.838297872
141.7057,89.0219,1.761702128
136.3214,85.6394,2.221276596
129.7783,81.5289,2.068085106
125.6901,78.9606,1.685106383
120.8702,75.9327,1.991489362
114.4719,71.9132,2.374468085
108.4227,68.1129,1.685106383
103.8208,65.2219,1.761702128
97.8684,61.4826,2.221276596
92.512,58.1176,1.761702128
87.3818,54.8947,1.761702128
82.0608,51.552,1.914893617
76.6921,48.1792,1.991489362
71.0468,44.6328,1.838297872
65.78,41.3241,1.914893617
59.7044,37.5073,1.991489362
53.7031,33.7372,1.991489362
48.3982,30.4046,1.761702128
43.0708,27.0578,1.991489362
37.1754,23.3542,1.991489362
31.4683,19.7689,2.068085106
25.6968,16.1432,2.068085106
20.709,13.0097,1.455319149
16.8876,10.6091,1.072340426
14.0587,8.8319,0.995744681
11.5569,7.2602,0.765957447
9.6068,6.0351,0.536170213
8.2887,5.2071,0.459574468
