DO,MO2
69.4972,2.466772655
65.5123,3.113513514
60.8386,3.640063593
55.7799,3.662957075
50.8928,3.611446741
46.0208,3.582829889
41.3145,3.353895072
36.811,3.113513514
32.8182,2.764387917
29.1519,2.604133545
25.7255,2.363751987
22.6584,2.077583466
20.0572,1.768521463
17.9013,1.505246423
16.0211,1.20190779
14.4041,1.075993641
12.9919,0.950079491
11.7857,0.749761526
10.8183,0.612400636
10.0172,0.652464229
9.3459,0.417806041
8.8757,0.314785374
8.4225,0.274721781
8.0063,0.291891892
7.6492,0.280445151
7.3254,0.314785374
6.883,0.286168521
6.5456,0.309062003
6.1626,0.223211447
5.8471,0.280445151
5.4179,0.246104928
