DO,MO2
91.6804,4.432226721
87.2311,5.40437247
82.3535,5.931983806
77.2994,5.340242915
72.4311,5.512226721
67.9618,4.175708502
64.087,4.56048583
60.0226,3.967287449
56.2272,4.040161943
52.5889,3.892955466
48.7803,4.152388664
45.4283,3.578137652
42.0413,3.646639676
38.5723,4.285020243
35.5798,2.069635628
32.9745,2.993684211
30.2355,2.801295547
27.7894,2.455870445
25.464,2.413603239
23.3385,2.177489879
21.3743,1.990931174
19.5186,1.734412955
17.8183,1.848097166
16.1006,1.979271255
14.7867,1.824777328
