DO,MO2
89.094,3.221052632
85.2726,2.652631579
82.9637,1.642105263
79.78,3.6
75.8108,2.652631579
72.6301,2.4
70.1449,1.957894737
67.4953,2.147368421
64.251,2.589473684
61.2387,2.021052632
50.0652,2.652631579
46.6219,2.968421053
42.5953,3.726315789
38.737,2.463157895
35.6236,2.652631579
32.5519,2.463157895
29.6407,2.210526316
26.6159,2.652631579
23.7726,1.957894737
21.2089,2.336842105
18.3003,2.715789474
15.7047,1.452631579
14.0323,1.515789474
13.4079,0.252631579
11.8309,1.831578947
10.9568,0.063157895
10.1573,1.263157895
9.0981,0.126315789
8.5739,0.821052632
