DO,MO2
92.3693,6.124757709
88.4817,4.025022026
84.9893,3.446167401
82.0462,3.205110132
78.6944,5.244581498
74.8008,3.722114537
71.7677,3.400176211
68.4,5.108193833
63.7942,5.119295154
59.4897,5.23030837
55.6832,3.971101322
52.0319,5.049515419
47.5228,4.814801762
43.7882,3.904493392
40.6166,3.695154185
37.4254,3.576211454
34.4516,3.465198238
31.4871,3.328810573
28.6659,3.168634361
25.8904,2.938678414
23.3729,2.778502203
20.969,2.673832599
18.8722,2.429603524
16.8649,2.133039648
15.0778,1.765110132
14.2188,2.075947137
