DO,MO2
91.6687,1.639162304
87.8623,1.712670157
83.8958,1.773612565
79.9748,1.708272251
76.0422,1.717068063
71.7134,1.843350785
67.6974,1.734659686
63.6222,1.864712042
59.5344,1.833926702
55.5136,1.73591623
51.455,1.767958115
47.521,1.681884817
43.7888,1.627225131
40.1848,1.511623037
36.8118,1.465759162
33.6277,1.392879581
30.5973,1.231413613
27.9066,1.151623037
25.4176,1.048586387
22.9521,1.044816754
20.7695,0.874554974
18.6209,1.052984293
16.6116,0.70052356
14.8327,0.804188482
13.1943,0.66408377
11.8198,0.594973822
10.9703,0.570471204
