DO,MO2
91.0397,4.085714286
87.1662,4.657142857
82.4348,5.514285714
77.4635,5.457142857
72.8232,5.6
68.0593,5.285714286
63.348,5.571428571
58.6745,5.114285714
54.2243,5
50.0192,5.257142857
45.365,5.228571429
40.7288,5.171428571
36.3405,4.742857143
32.4976,4.171428571
28.806,4.142857143
25.3913,3.857142857
22.1775,3.371428571
19.4689,2.828571429
17.1522,2.485714286
15.1132,2.114285714
13.3655,1.971428571
11.7314,1.714285714
10.3597,1.571428571
9.1023,1.314285714
8.0455,1.142857143
7.0753,1.114285714
6.1922,0.971428571
5.4315,0.742857143
4.8758,0.514285714
4.5102,0.142857143
