DO,MO2
95.3263,3.981779359
90.9342,4.768398577
86.1437,3.110604982
82.6726,3.216939502
79.0414,3.351459075
74.8696,5.168113879
69.3769,5.054092527
65.0133,3.437295374
61.3564,3.607686833
56.5616,5.80227758
51.743,3.264341637
48.0055,3.343772242
44.4491,3.199003559
40.9038,3.27202847
37.2279,3.571814947
33.5387,3.438576512
29.758,3.457793594
26.545,2.924839858
23.5364,2.536654804
20.9438,2.274021352
18.6839,1.943487544
16.6535,1.851245552
14.8287,1.644982206
13.1035,1.538647687
11.5642,1.310604982
