DO,MO2
92.8127,6.412153846
86.573,6.288923077
80.5713,6.974307692
75.0554,5.768307692
69.1866,6.409384615
64.2376,5.556461538
59.5389,6.12
55.1757,3.494769231
51.4719,3.456
47.5847,4.195384615
44.4392,3.210923077
40.7598,3.557076923
37.764,2.961692308
35.1961,2.640461538
32.7429,2.906307692
30.1751,2.560153846
27.9388,2.382923077
25.5573,2.479846154
23.4822,2.075538462
21.5446,1.971692308
19.8022,1.746
18.1947,1.607538462
16.7273,1.521692308
15.3968,1.404
14.1179,1.280769231
12.9963,1.124307692
12.0094,1.059230769
