DO,MO2
99.8251,1.078277512
98.9747,1.028325359
98.1924,0.973205742
97.2057,1.276363636
96.0925,1.51923445
95.0866,1.403827751
93.9335,1.570909091
92.8503,1.503732057
91.6992,1.503732057
90.5672,1.629473684
89.3896,1.663923445
88.1534,1.613971292
86.836,1.939521531
85.4843,1.737990431
84.2064,1.760382775
82.9068,1.851674641
81.6212,1.768995215
80.1867,1.977416268
78.9473,1.484784689
77.7779,1.601913876
76.5053,1.8
75.1479,1.708708134
73.8035,1.69492823
72.5544,1.836172249
71.236,1.667368421
69.9926,1.763827751
68.6916,1.806889952
67.4299,1.675980861
66.1124,1.725933014
64.8239,1.732822967
63.5089,1.682870813
62.2865,1.731100478
60.9711,1.688038278
59.6468,1.588133971
58.3745,1.639808612
57.0401,1.582966507
55.7964,1.644976077
54.5874,1.681148325
53.3446,1.78277512
52.1065,1.72076555
50.8016,1.70354067
49.5168,1.686315789
48.2149,1.706985646
46.886,1.772440191
45.5957,1.657033493
44.2579,1.774162679
43.0126,1.60708134
41.7765,1.743157895
40.5086,1.689760766
39.2546,1.639808612
37.9567,1.753492823
36.539,2.189282297
34.8802,1.843062201
33.473,1.753492823
31.9973,2.108325359
30.549,1.970526316
29.1041,1.930909091
27.6466,1.932631579
26.1312,1.965358852
24.6751,1.908516746
23.254,1.705263158
21.9402,1.763827751
20.6055,1.646698565
19.4727,1.35215311
18.415,1.345263158
17.3535,1.284976077
16.3816,1.188516746
15.4605,1.240191388
14.5789,1.16784689
13.7806,1.059330144
13.0134,1.021435407
12.2467,0.938755981
11.5582,0.926698565
10.8723,0.745837321
10.2357,0.861244019
9.8452,1.241913876
