DO,MO2
90.3562,3.063829787
88.1048,3.446808511
85.5907,3.753191489
83.1991,3.446808511
80.6994,3.6
78.3014,3.446808511
76.1568,2.834042553
74.1259,3.063829787
71.9598,3.6
69.2026,4.365957447
65.8796,4.825531915
63.1296,3.370212766
60.9283,3.140425532
58.876,2.604255319
56.9741,2.527659574
55.0764,2.910638298
53.1012,2.987234043
50.9815,2.987234043
48.9644,2.987234043
46.7745,3.293617021
44.4042,3.6
41.986,3.370212766
39.8822,2.910638298
37.8914,2.910638298
35.9294,2.987234043
33.8959,2.910638298
31.9257,2.910638298
29.9262,2.987234043
27.8685,3.063829787
25.9577,2.757446809
24.2279,2.45106383
22.5623,2.374468085
21.0047,2.221276596
19.5369,2.144680851
18.1951,1.914893617
16.9136,1.761702128
15.748,1.608510638
14.573,1.685106383
13.4391,1.608510638
12.4169,1.531914894
11.3794,1.455319149
10.4405,1.30212766
9.5537,1.30212766
8.806,0.995744681
8.1852,1.072340426
