DO,MO2
87.9673,2.579340659
83.8899,2.50021978
80.1595,2.223296703
76.6615,2.247032967
72.6244,2.824615385
68.1807,2.903736264
63.7367,2.476483516
60.1258,2.144175824
56.7135,1.993846154
53.5594,1.906813187
50.583,1.827692308
47.6374,1.843516484
44.8594,1.81978022
41.8464,1.875164835
38.8231,1.78021978
36.0595,1.709010989
33.4833,1.637802198
30.9694,1.519120879
28.3609,1.772307692
25.6883,1.527032967
23.3512,1.408351648
21.236,1.321318681
19.2126,1.194725275
17.364,1.068131868
15.7507,0.973186813
14.2549,0.917802198
12.8657,0.886153846
11.5459,0.664615385
10.4805,0.656703297
9.3838,0.664615385
8.4396,0.545934066
7.5445,0.53010989
6.678,0.506373626
5.9063,0.466813187
5.155,0.411428571
4.5072,0.371868132
3.8752,0.37978022
3.3871,0.261098901
