DO,MO2
95.6672,1.303448276
93.2411,1.675862069
90.3003,1.986206897
87.1014,2.172413793
83.1725,2.513793103
79.2755,2.575862069
75.3027,2.420689655
72.0562,1.737931034
69.6226,1.582758621
67.4468,1.396551724
65.0645,1.613793103
62.6791,1.551724138
59.9416,1.675862069
57.3558,1.489655172
54.0785,2.606896552
48.9496,3.506896552
44.1091,2.606896552
40.7656,1.706896552
38.3167,1.365517241
36.0909,1.24137931
33.9824,1.396551724
31.4779,1.924137931
28.3351,2.110344828
25.029,1.955172414
22.3024,1.489655172
20.0742,1.396551724
17.8033,1.489655172
15.6086,1.24137931
13.742,1.179310345
12.0431,0.962068966
10.6775,0.651724138
9.3856,0.744827586
8.3293,0.55862069
7.4388,0.434482759
