DO,MO2
88.9916,4.388472622
83.1259,4.606340058
77.3847,4.668587896
71.5119,4.585590778
65.9755,4.191354467
60.8054,3.848991354
55.7549,3.776368876
50.9529,3.517002882
46.5093,3.444380403
42.1974,3.15389049
38.325,2.977521614
34.7752,2.562536023
31.6479,2.344668588
28.7986,2.074927954
26.2932,1.888184438
24.0978,1.659942363
22.2282,1.390201729
20.6393,1.307204611
19.0944,1.317579251
17.7993,0.788472622
16.8237,0.840345821
15.7849,0.788472622
14.8326,0.591354467
13.5436,1.203458213
12.2723,0.923342939
11.3688,0.726224784
