DO,MO2
91.5535,2.456470588
88.553,2.668235294
85.4092,2.827058824
82.205,2.742352941
78.9791,2.869411765
75.6214,2.890588235
72.1848,3.070588235
68.8708,2.657647059
65.8153,2.636470588
62.7121,2.625882353
59.6517,2.7
56.2402,2.943529412
52.8359,3.007058824
49.4784,2.890588235
46.0958,3.007058824
42.5881,3.112941176
39.072,2.901176471
35.8429,2.763529412
32.6879,2.742352941
29.1872,3.091764706
25.5423,3.356470588
21.7282,3.261176471
18.3431,2.583529412
15.3609,2.541176471
12.6145,2.054117647
10.8176,1.471764706
9.0044,1.651764706
7.3094,1.196470588
6.0486,0.995294118
5.1207,0.667058824
4.5406,0.402352941
3.9505,0.592941176
3.469,0.264705882
3.1193,0.328235294
