DO,MO2
77.475,3.257142857
75.8689,2.314285714
74.5595,1.885714286
73.1323,3.514285714
70.7747,3.514285714
68.1658,4.8
64.9621,5.057142857
62.1754,3.685714286
59.9811,3.085714286
57.9026,3.857142857
56.0187,3.428571429
53.8932,3.428571429
52.0561,3.085714286
50.1832,2.914285714
48.3236,2.657142857
46.8103,2.571428571
45.2926,2.4
43.8015,2.571428571
42.2532,2.571428571
40.5819,2.742857143
39.0248,2.4
37.2206,2.742857143
35.4923,3
33.703,2.828571429
31.9467,3.085714286
30.0459,3
28.1575,3.171428571
26.1935,3.257142857
24.1432,3.342857143
22.1412,3.171428571
20.2195,3.085714286
18.4473,2.571428571
16.8953,2.485714286
15.4816,2.228571429
14.1721,1.971428571
13.0125,1.971428571
11.88,1.885714286
11.1544,2.228571429
