DO,MO2
93.8312,3.451546392
91.52,4.082474227
88.753,5.307216495
85.7194,4.453608247
82.2142,6.197938144
78.5471,5.270103093
74.5788,6.865979381
70.7312,5.975257732
66.2541,7.088659794
62.6644,5.270103093
59.9205,3.191752577
56.9044,5.715463918
53.7847,5.381443299
50.4682,4.824742268
46.9801,5.604123711
43.5781,5.901030928
40.6604,3.748453608
37.8224,5.195876289
35.2965,2.931958763
33.5204,3.117525773
31.3386,3.080412371
29.7967,3.340206186
27.8381,2.820618557
26.0593,2.746391753
24.3017,2.672164948
22.9417,2.041237113
21.8895,1.967010309
20.2845,2.33814433
19.1539,0.964948454
18.1311,1.150515464
17.2065,0.668041237
16.4535,1.892783505
14.9272,2.078350515
13.8435,1.818556701
13.3778,1.595876289
12.2176,1.707216495
