DO,MO2
91.6023,4.32
88.2227,4.834285714
84.7421,4.902857143
81.0074,4.937142857
77.4886,5.28
73.4055,6.24
68.8596,6.308571429
64.1028,6.582857143
59.4086,6.685714286
54.5253,6.925714286
49.5807,6.274285714
45.4198,5.52
41.3729,5.725714286
37.5242,4.834285714
34.4487,4.388571429
31.0998,4.422857143
28.1418,3.462857143
25.781,3.257142857
23.5902,2.742857143
21.6326,2.742857143
19.6447,2.708571429
17.8763,2.194285714
16.3921,1.954285714
15.0727,1.782857143
13.8718,1.611428571
12.696,1.611428571
11.5709,1.405714286
10.5554,1.405714286
9.7447,1.2
