DO,MO2
96.228,3.245070423
91.0282,3.295774648
85.9205,3.143661972
80.8302,3.295774648
75.8033,3.092957746
70.9601,3.143661972
65.9901,3.295774648
60.9075,3.143661972
55.8706,2.991549296
51.7666,2.636619718
46.9165,3.650704225
41.6168,2.890140845
37.1654,3.042253521
32.4045,3.042253521
27.4605,3.092957746
22.2666,3.245070423
17.7594,2.585915493
14.35,1.825352113
11.6801,1.521126761
9.6359,1.115492958
8.001,0.963380282
6.6203,0.811267606
5.6073,0.608450704
4.7757,0.253521127
3.9378,0.557746479
3.2097,0.557746479
2.4722,0.253521127
2.1625,0.202816901
