DO,MO2
98.0846,1.134869888
96.9102,1.44936803
95.554,1.638066914
94.0688,1.44133829
92.9078,1.181710037
91.6734,1.79464684
90.0277,2.259033457
88.0581,1.520297398
86.8744,1.228550186
85.6692,1.280743494
84.3067,1.866914498
82.8076,1.350334572
81.4178,1.581858736
80.1358,1.671524164
78.7282,1.595241636
76.3933,2.53472119
74.7216,1.505576208
73.3957,1.44535316
71.9781,1.943197026
70.5098,1.330260223
69.1955,1.581858736
67.8506,1.729070632
66.0388,1.626022305
64.4162,1.391821561
63.2401,1.237918216
61.5096,2.668550186
59.0346,2.778289963
56.7343,2.731449814
54.9898,1.490855019
52.8775,2.838513011
50.7592,2.463791822
48.473,2.018141264
47.0065,1.508252788
45.5925,1.516282528
44.0787,2.091747212
42.4912,1.359702602
40.8018,2.53472119
38.7679,2.703345725
36.851,2.379479554
34.5579,2.734126394
31.6426,2.932193309
29.1121,2.825130112
26.8008,2.415613383
24.7006,2.123866171
22.8232,1.995390335
21.151,1.779925651
19.6665,1.600594796
18.5017,0.938141264
17.3979,1.278066914
16.2633,1.215167286
15.1558,1.366394052
14.0591,1.185724907
13.0558,1.07330855
12.303,0.999702602
