DO,MO2
97.2933,2.149411765
94.5118,1.615927602
92.2329,1.334117647
90.2205,1.366696833
88.3949,1.184253394
86.7033,1.070226244
85.0681,1.141085973
83.3872,1.14678733
81.7163,1.098733032
80.0841,1.077556561
78.446,1.1239819
76.8528,1.077556561
75.2766,1.105248869
73.6532,1.176923077
70.2433,2.831131222
66.8684,1.850497738
64.5343,1.403348416
62.6058,1.221719457
60.8495,1.143529412
59.1495,1.119909502
57.5088,1.086515837
55.9425,1.022171946
53.9896,2.27321267
50.3951,2.379095023
46.9671,2.234932127
43.7147,2.138823529
40.6082,2.027239819
37.7476,1.839095023
35.1072,1.681085973
32.7094,1.535294118
30.5381,1.402533937
28.5353,1.299909502
26.7113,1.196470588
24.9857,1.089773756
23.3933,1.026244344
21.8923,0.969230769
20.499,0.885339367
19.2423,0.768054299
18.2286,0.761538462
17.0871,0.750950226
16.0061,0.692307692
14.9616,0.58561086
14.0576,0.628778281
13.1822,0.567692308
12.3526,0.523710407
11.6673,0.435746606
11.0806,0.356742081
