DO,MO2
84.884,2.837647059
81.0863,2.297647059
77.9592,1.916470588
75.2982,1.703891403
72.8875,1.564615385
70.6135,1.516561086
68.4166,1.434298643
66.2692,1.472579186
64.1611,1.321085973
62.0839,1.466877828
59.9434,1.405791855
57.8651,1.374027149
55.8096,1.357737557
53.7442,1.360995475
51.704,1.351221719
49.7007,1.34959276
47.6759,1.323529412
45.6651,1.424524887
43.581,1.320271493
41.5081,1.405791855
39.448,1.425339367
37.4134,1.312126697
35.4671,1.293393665
33.5358,1.290950226
31.6115,1.269773756
29.728,1.21520362
27.8808,1.229049774
26.0742,1.201357466
24.3515,1.138642534
22.7166,1.05638009
21.1782,0.995294118
19.7401,0.931764706
18.3735,0.910588235
17.097,0.777013575
15.9339,0.74280543
14.8602,0.683348416
13.8363,0.671131222
12.8634,0.621447964
11.9526,0.596199095
11.1072,0.529411765
10.3317,0.505791855
9.6085,0.459366516
8.9451,0.447149321
8.2632,0.402352941
7.6784,0.35918552
7.1339,0.353484163
6.61,0.333122172
