DO,MO2
93.1212,3.951879699
88.9619,4.493233083
84.075,5.684210526
79.0997,4.872180451
74.7408,4.818045113
70.5658,4.087218045
66.8374,4.006015038
62.8238,4.763909774
58.1293,4.872180451
53.9631,4.033082707
49.8056,5.088721805
44.6294,5.440601504
39.1752,5.765413534
33.6954,5.873684211
28.5976,5.630075188
24.0878,4.276691729
20.2413,3.951879699
16.9375,3.085714286
14.2454,2.896240602
11.8946,2.30075188
10.0531,1.678195489
8.5851,1.569924812
7.2474,1.326315789
6.1952,1.001503759
5.322,0.730827068
4.8607,0.433082707
4.3396,0.595488722
3.8638,0.514285714
3.4938,0.270676692
