DO,MO2
88.2773,2.498313253
84.2,2.741204819
79.8116,2.775903614
75.7291,2.628433735
71.63,2.697831325
67.3838,2.706506024
62.3635,3.756144578
56.239,3.851566265
50.7631,3.226987952
45.9369,3.001445783
41.6765,2.559036145
37.4115,2.775903614
33.3443,2.411566265
29.7922,2.168674699
26.5767,1.960481928
23.6816,1.734939759
21.1284,1.578795181
18.839,1.413975904
16.8077,1.145060241
14.9821,1.136385542
13.323,0.980240964
11.9102,0.806746988
10.7216,0.728674699
9.4059,0.893493976
8.294,0.485783133
7.3981,0.702650602
6.5699,0.494457831
