DO,MO2
98.163,1.593922261
96.6971,1.689328622
95.1777,1.431095406
93.9769,1.469257951
92.4481,1.899222615
90.7058,1.853427562
89.0271,1.744028269
87.3569,1.688056537
85.7787,1.871236749
83.9584,1.849611307
82.1512,1.937385159
80.4206,1.796183746
78.6405,1.909399293
76.8169,2.028975265
75.0077,1.946289753
73.24,1.904310954
71.4326,1.76565371
69.675,1.923392226
67.8576,1.796183746
66.12,1.943745583
64.3518,1.852155477
62.617,1.909399293
60.914,1.939929329
58.9959,2.118021201
57.1506,1.903038869
55.4338,1.835618375
53.6479,1.812720848
51.8938,1.801272085
50.1724,1.822897527
48.5081,1.700777385
46.7392,2.09130742
44.8286,1.848339223
43.0059,1.889045936
41.0359,2.114204947
39.2706,1.626996466
37.429,2.238869258
35.8929,1.548127208
34.5001,1.696961131
33.1125,1.774558304
31.7637,1.446360424
30.4088,1.489611307
29.1511,1.236466431
27.9723,1.27844523
26.7861,1.272084806
25.541,1.24664311
24.5356,1.003674912
23.5716,1.125795053
22.7981,0.856113074
21.9014,0.976961131
21.0262,0.912084806
20.1446,1.004946996
19.2719,0.814134276
18.5344,0.904452297
17.7469,0.838303887
16.9216,0.94770318
16.0749,0.826855124
15.4478,0.602968198
14.8959,0.642402827
14.2718,0.78614841
13.6213,0.564805654
13.0809,0.440141343
12.5962,0.401978799
12.2264,0.530459364
11.786,0.365088339
11.4441,0.389257951
11.1371,0.471943463
