DO,MO2
89.9962,3.381469649
85.8902,3.69201278
81.6865,3.461980831
77.5414,3.922044728
73.3351,3.519488818
69.0839,3.634504792
64.9275,3.738019169
60.8594,3.738019169
56.6716,3.876038339
52.2123,3.807028754
47.8765,3.738019169
43.696,3.703514377
39.4581,3.922044728
35.2811,3.772523962
30.9944,3.795527157
26.6725,3.588498403
22.6806,3.358466454
19.1634,2.955910543
16.2274,2.403833866
13.6188,1.943769968
11.3394,1.840255591
9.4888,1.564217252
7.9391,1.207667732
6.6792,0.966134185
5.8134,0.782108626
4.9498,0.690095847
4.3255,0.310543131
