DO,MO2
77.3266,2.786746988
73.2256,3.708433735
68.5827,3.81686747
63.9571,3.730120482
59.5357,3.437349398
55.4086,3.404819277
51.3341,3.112048193
47.7054,2.786746988
44.1651,2.895180723
40.7432,2.678313253
37.6134,2.461445783
34.6954,2.201204819
31.8091,2.255421687
29.2991,1.897590361
26.9608,1.83253012
24.7598,1.886746988
22.4621,1.702409639
20.6387,1.344578313
19.1189,1.073493976
17.9553,0.975903614
16.7723,0.9
15.6448,0.954216867
14.5611,0.824096386
13.4452,0.86746988
12.3388,0.9
11.3587,0.759036145
10.4449,0.726506024
9.6473,0.618072289
