DO,MO2
95.8212,2.45106383
94.1295,2.45106383
92.4642,2.757446809
90.8501,2.374468085
89.3781,2.29787234
87.4982,3.446808511
84.7406,5.285106383
81.1171,5.89787234
77.7896,4.442553191
74.815,4.059574468
72.5949,3.293617021
70.5007,2.527659574
68.9158,2.29787234
67.3645,2.604255319
65.7706,2.45106383
64.2749,2.068085106
62.6407,2.757446809
60.9613,2.374468085
59.4707,2.680851064
57.7396,2.834042553
56.1439,2.987234043
54.0605,3.370212766
52.2648,2.221276596
50.6344,2.527659574
48.9766,2.834042553
47.3887,2.834042553
45.5492,3.676595745
43.6921,2.144680851
42.2443,2.221276596
39.9633,4.365957447
37.8676,2.604255319
35.8086,2.987234043
33.7343,3.982978723
31.0571,3.829787234
29.0501,2.834042553
27.1731,2.834042553
25.443,2.757446809
23.6162,3.063829787
21.4882,3.293617021
19.7413,2.374468085
18.2379,2.068085106
16.9513,1.761702128
15.7743,1.914893617
14.6673,1.761702128
13.5654,1.608510638
12.5813,1.531914894
11.5627,1.685106383
10.63,1.378723404
10.0361,1.531914894
