DO,MO2
93.0924,3.35915493
89.3236,3.726760563
85.0029,4.943661972
80.1862,4.094366197
76.3651,3.638028169
72.7132,3.473239437
69.2189,3.346478873
65.8108,3.21971831
62.458,3.194366197
59.0973,3.333802817
55.5362,3.346478873
51.6615,4.309859155
47.1506,4.183098592
43.1569,3.536619718
39.6856,3.245070423
36.4826,2.94084507
33.4543,2.915492958
30.5312,2.750704225
27.7524,2.623943662
25.174,2.357746479
22.8265,2.18028169
20.7177,1.926760563
18.7532,1.761971831
16.9996,1.698591549
15.2832,1.533802817
13.6678,1.609859155
12.2168,1.28028169
10.9725,1.102816901
9.8119,1.14084507
