DO,MO2
91.8692,2.56379822
88.4854,2.98041543
84.6338,3.183382789
80.6713,3.343620178
76.5774,3.343620178
72.541,3.343620178
68.4768,3.290207715
64.5587,3.215430267
60.4979,3.514540059
56.2008,3.439762611
52.1799,3.023145401
48.5886,2.852225519
45.138,2.852225519
41.5899,2.777448071
38.3027,2.585163205
35.1269,2.510385757
32.1719,2.296735905
29.4255,2.211275964
26.7851,2.083086053
24.3332,1.94421365
22.041,1.858753709
19.9867,1.538278932
18.1531,1.484866469
16.4523,1.399406528
14.8493,1.196439169
13.3441,1.110979228
11.9682,1.153709199
10.7069,0.897329377
9.7042,1.03620178
