DO,MO2
92.2874,2.389813243
88.1723,1.907572156
84.3366,1.792054329
80.7833,1.641697793
77.5904,1.485229202
74.6855,1.379490662
72.0124,1.252359932
69.3343,1.37582343
65.7818,2.035925297
62.3284,1.444278438
59.4724,1.399660441
56.7561,1.216910017
54.2893,1.227911715
51.9023,1.202241087
49.4846,1.119117148
47.1988,1.103837012
44.7185,1.351986418
42.0771,1.193684211
40.0165,0.965093379
37.773,1.131952462
35.5742,1.070220713
33.4298,1.059830221
31.2841,1.06533107
29.2107,1.042716469
27.2231,0.869134126
25.4472,0.957758913
23.5512,0.858743633
21.7827,0.810458404
20.2791,0.678438031
18.9362,0.646044143
17.6816,0.586757216
16.5225,0.550696095
15.701,0.49385399
