DO,MO2
96.0868,4.509818182
92.5815,5.252727273
89.7636,2.590363636
87.688,3.254727273
85.3485,3.658909091
82.613,3.181090909
80.1576,3.006
77.893,4.167818182
74.6374,5.035090909
71.9826,2.438181818
69.6607,4.158
66.916,2.709818182
64.357,3.876545455
61.0063,3.855272727
58.5521,3.266181818
55.8277,3.220363636
53.4487,4.110545455
50.5919,3.452727273
47.6817,4.611272727
44.8477,2.695090909
42.9492,3.130363636
40.7413,2.934
38.566,3.001090909
35.9202,4.076181818
33.1312,3.518181818
30.876,2.871818182
28.6548,3.145090909
26.3943,2.909454545
24.3643,2.852181818
22.2325,2.840727273
20.355,2.575636364
18.663,2.125636364
17.1762,2.065090909
15.8843,1.134
14.8091,1.404
13.9646,1.178181818
13.0941,1.155272727
12.2757,1.138909091
11.4552,1.093090909
10.7098,0.947454545
