DO,MO2
96.1341,1.86130031
94.5236,1.480123839
92.8615,1.490154799
91.3181,1.418823529
89.6293,1.514674923
86.3234,4.964210526
83.0888,1.89250774
80.4722,2.441981424
78.2495,1.783281734
76.4539,1.598266254
74.5,1.999504644
72.5843,1.519133127
70.8665,1.749845201
68.647,2.089783282
66.8089,1.538080495
65.0456,1.600495356
63.1946,2.08755418
61.1922,2.059690402
59.0738,1.57374613
56.4156,2.968049536
53.9341,1.657337461
51.9568,1.623900929
49.5674,2.263653251
47.62,1.618328173
45.8381,1.728668731
43.9724,1.584891641
41.8545,2.08755418
39.8746,1.622786378
38.1635,1.546996904
36.4434,1.486811146
34.5555,1.978328173
32.6912,1.555913313
30.9938,1.622786378
29.2788,1.533622291
27.6212,1.490154799
25.924,1.701919505
24.0902,1.659566563
22.4266,1.428854489
20.8525,1.446687307
19.2679,1.335232198
17.6456,1.530278638
16.195,1.314055728
14.8549,1.087801858
13.6304,1.143529412
12.3502,1.14130031
11.1639,0.983034056
10.1946,0.76123839
9.3667,0.794674923
8.5631,0.708854489
