DO,MO2
90.308,2.859102902
86.1769,3.277044855
81.8691,3.267546174
77.6218,3.22005277
73.2605,3.362532982
68.938,3.296042216
64.4833,3.419525066
60.1796,3.125065963
56.2402,3.096569921
52.1876,3.020580475
48.4347,2.887598945
44.8102,2.745118734
40.9891,2.840105541
37.2872,2.745118734
33.8375,2.555145119
30.6353,2.260686016
27.8015,2.118205805
25.2297,1.79525066
23.0115,1.633773087
20.9783,1.472295515
19.2572,1.234828496
17.6407,1.206332454
16.16,1.044854881
14.886,0.940369393
13.6827,0.911873351
12.5589,0.816886544
11.5704,0.674406332
10.6975,0.664907652
9.8554,0.655408971
9.1068,0.436939314
8.4291,0.465435356
7.8274,0.493931398
7.289,0.398944591
