DO,MO2
100.1298,1.068695652
98.7012,0.971304348
97.0381,1.213043478
95.5645,0.933043478
94.6039,0.477391304
93.9423,0.449565217
93.1622,0.659130435
92.1359,0.836521739
91.0073,0.803478261
89.9035,0.768695652
88.8212,0.787826087
87.7082,0.812173913
86.6175,0.880869565
85.4722,0.782608696
84.3166,0.860869565
83.1441,0.755652174
82.0534,0.806086957
80.7859,1.066956522
79.3747,0.936521739
78.1394,0.852173913
76.9423,0.89826087
75.8201,0.688695652
74.7397,0.966956522
73.1728,1.097391304
71.6794,0.867826087
70.4922,0.877391304
69.3252,0.80173913
68.2182,0.906086957
66.9434,1.017391304
65.4114,1.025217391
64.1305,0.820869565
62.9783,0.788695652
61.6707,1.106086957
59.9086,1.164347826
58.4765,0.928695652
57.1999,0.945217391
55.7208,1.019130435
54.1717,1.323478261
52.5915,0.826956522
51.577,0.600869565
50.6346,0.78
49.4795,0.790434783
48.1717,1.150434783
46.3065,1.16173913
44.8275,0.922608696
43.6645,0.752173913
42.5001,0.887826087
41.3612,0.811304348
40.2553,0.815652174
39.1438,0.794782609
38.0882,0.785217391
37.0088,0.775652174
35.8946,0.76
34.7835,0.79826087
33.6963,0.769565217
32.6039,0.792173913
31.4769,0.880869565
30.2476,0.870434783
28.9827,0.833043478
27.7887,0.833043478
26.7411,1.022608696
25.3207,1.014782609
23.9887,0.919130435
22.7423,0.863478261
21.5487,0.82173913
20.4456,0.73826087
19.4157,0.71826087
18.4571,0.691304348
17.6198,0.625217391
16.7758,0.606086957
15.8398,0.702608696
14.9141,0.677391304
14.1517,0.424347826
13.6156,0.389565217
13.1195,0.400869565
12.5217,0.444347826
11.8993,0.49826087
11.2891,0.393913043
10.7145,0.406956522
