DO,MO2
91.0393,1.888695652
88.8073,1.426086957
86.9963,1.229565217
85.248,1.559130435
83.5325,1.049565217
82.1858,0.896521739
80.9604,0.833913043
79.6689,0.859130435
78.4258,0.813043478
77.2896,0.880869565
76.0771,0.755652174
74.9791,0.909565217
73.7651,0.755652174
72.6884,0.805217391
71.5333,0.837391304
70.3705,0.790434783
69.2684,0.81826087
67.8748,0.976521739
66.5313,0.893913043
65.3357,0.86173913
64.1362,0.807826087
63.0107,0.874782609
61.8137,0.829565217
60.635,0.853043478
59.5145,0.775652174
58.3037,0.866956522
57.1389,0.802608696
55.9777,0.886086957
54.8004,0.842608696
53.6582,0.823478261
52.5541,0.833043478
51.3909,0.866956522
50.2319,0.847826087
48.9946,1.093913043
46.7519,1.891304348
44.4837,1.380869565
42.8071,1.071304348
41.418,0.952173913
40.106,0.906956522
38.8879,0.793913043
37.7473,0.851304348
36.5443,0.886956522
35.3157,0.895652174
34.1328,0.827826087
32.9364,0.91826087
31.7715,0.817391304
30.6955,0.846086957
29.5721,0.812173913
28.3579,0.908695652
27.0407,1.005217391
25.7688,0.812173913
24.5821,0.830434783
23.4312,0.827826087
22.286,0.825217391
21.2071,0.729565217
20.1848,0.751304348
19.1868,0.647826087
18.2867,0.64173913
17.3611,0.617391304
16.4877,0.639130435
15.6461,0.636521739
14.797,0.603478261
14.0322,0.568695652
13.2877,0.545217391
12.5485,0.497391304
11.8509,0.496521739
11.1871,0.437391304
10.5432,0.437391304
9.9269,0.415652174
9.3418,0.423478261
8.7548,0.36173913
8.2031,0.354782609
7.6508,0.389565217
7.1219,0.374782609
6.6109,0.30173913
6.2501,0.436521739
