DO,MO2
96.5944,1.25875
95.2426,1.4875
93.9604,1.35875
92.439,1.63125
91.0387,1.20875
89.6095,1.88875
87.6238,2.1
86.1608,1.38375
84.5802,1.95625
83.1084,1.785
81.1893,1.73875
79.444,1.82375
77.759,1.91
75.6608,2.26625
73.6453,1.64375
72.0143,1.8075
70.2226,2.025
68.0148,2.08125
66.2467,1.6675
64.3179,2.175
62.6165,1.77875
60.933,1.68125
59.2401,1.58125
57.6962,1.57875
55.5967,2.65625
53.5759,1.815
51.7727,1.82
49.9584,1.8725
47.8651,2.56
45.6388,1.87375
43.9035,1.675
41.8801,2.41375
39.9177,1.745
38.1724,2.03875
36.0566,2.18375
33.7077,2.46875
31.1883,2.6075
29.0055,2.13875
26.9892,2.20375
25.0278,2.1825
22.7672,2.31125
20.5946,2.1375
18.109,2.245
16.0196,2.1
14.2565,1.93375
12.5337,1.86125
10.9242,1.58875
9.4969,1.19
8.3266,1.125
7.2309,1.1475
6.3016,0.9175
