DO,MO2
97.073,1.797669903
95.0561,1.605436893
93.141,2.608543689
91.0067,1.537864078
89.2684,1.92815534
87.6675,1.313009709
85.4434,2.526990291
83.5592,1.469126214
82.061,1.350291262
79.8757,2.231067961
77.9987,1.584466019
75.9356,2.670291262
73.6375,1.73592233
71.9508,1.451650485
69.9548,2.241553398
67.7858,2.333592233
65.7608,1.966601942
64.0079,1.47961165
62.2951,1.824466019
60.5076,1.775533981
57.8759,2.955728155
55.4859,1.977087379
53.6398,1.68
51.9192,1.772038835
49.8809,2.841553398
47.3032,2.257864078
45.1262,2.063300971
43.14,1.854757282
41.3107,1.769708738
39.6576,1.685825243
37.5542,1.747572816
35.7213,1.831456311
34.0664,1.498252427
32.3971,1.739417476
30.308,1.79184466
28.5939,1.613592233
26.9236,1.611262136
25.3422,1.467961165
23.8964,1.318834951
22.4571,1.331650485
21.1466,1.297864078
19.8515,1.114951456
18.6377,1.211650485
17.5009,1.180194175
16.2433,1.048543689
15.1506,1.253592233
14.0192,0.923883495
13.0423,0.94368932
12.1271,0.872621359
11.2942,0.702524272
10.4979,0.865631068
9.7072,0.695533981
8.97,0.71184466
8.272,0.685048544
7.5497,0.482330097
7.0868,0.540582524
6.5359,0.499805825
6.0682,0.493980583
