date,species,spps,finclip,mass_g,probe,resp,resp_vol_L,expt_period,time_min,corr % sat,po2 torr,umol_per_sec,sel_start,sel_end,sel_duration,no_data_points_reg,notes
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,15.3269,92.8714,150.1683,-0.0094,10:30.0,20:00.0,585,39,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,34.2935,94.2192,152.3477,-0.0073,30:45.0,37:30.0,420,28,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,54.5171,95.0148,153.634,-0.0042,49:15.0,59:15.0,615,41,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,80.1426,94.5383,152.8636,-0.0045,14:15.0,25:15.0,675,45,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,105.6423,94.4273,152.6841,-0.0045,39:00.0,51:15.0,750,50,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,130.6368,93.9743,151.9517,-0.0047,03:30.0,16:30.0,795,53,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,156.7634,94.1386,152.2174,-0.0049,29:45.0,42:15.0,765,51,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,181.3862,89.2759,144.3547,-0.0135,54:00.0,07:00.0,795,53,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,207.6385,93.0075,150.3884,-0.005,20:15.0,33:00.0,780,52,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,234.3987,95.0515,153.6935,-0.0034,47:00.0,59:30.0,765,51,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,260.6486,95.1158,153.7974,-0.0035,13:30.0,25:15.0,720,48,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,284.1372,95.0324,153.6626,-0.0041,37:30.0,48:00.0,645,43,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,310.5163,94.8853,153.4248,-0.0036,02:45.0,15:15.0,765,51,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,335.1367,88.4482,143.0163,-0.0136,26:15.0,40:45.0,885,59,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,361.2647,87.8898,142.1133,-0.0131,53:15.0,05:45.0,765,51,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,386.8886,87.9247,142.1697,-0.0145,18:00.0,32:00.0,855,57,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,413.1439,93.7462,151.5828,-0.0048,44:45.0,57:30.0,780,52,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,439.267,94.7909,153.2721,-0.0039,10:45.0,23:30.0,780,52,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,464.1375,95.2702,154.0471,-0.0035,35:30.0,48:15.0,780,52,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,490.1403,95.557,154.5108,-0.003,01:00.0,14:30.0,825,55,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,516.267,95.37,154.2084,-0.0032,27:15.0,40:15.0,795,53,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,541.2624,88.3056,142.7857,-0.0127,52:00.0,05:15.0,810,54,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,567.1423,88.5442,143.1715,-0.0117,18:00.0,30:45.0,780,52,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,592.3921,89.4383,144.6172,-0.0097,42:30.0,56:30.0,855,57,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,616.7635,89.677,145.0032,-0.0076,08:00.0,19:30.0,705,47,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,645.1546,94.2759,152.4394,-0.0032,35:45.0,48:15.0,765,51,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,670.4021,94.9727,153.566,-0.0042,01:15.0,13:00.0,720,48,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,696.5314,95.2769,154.058,-0.0032,27:00.0,39:15.0,750,50,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,724.1656,94.2526,152.4017,-0.0064,57:00.0,04:15.0,450,30,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,746.906,91.3194,147.6588,-0.0092,17:45.0,28:45.0,675,45,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,772.7812,89.7223,145.0765,-0.0124,43:15.0,54:45.0,705,47,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,797.6538,88.63,143.3102,-0.011,07:15.0,20:15.0,795,53,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,823.1537,88.0864,142.4313,-0.0122,33:00.0,45:15.0,750,50,
