Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-12 06:12:54.1, 94.86801, 2.276332, 200, 101.0005
2018-11-12 06:13:09.1, 94.97464, 2.275898, 200, 101.0032
2018-11-12 06:13:24.2, 95.09567, 2.275406, 200, 101.0037
2018-11-12 06:13:39.3, 95.28372, 2.274641, 200, 101.0022
2018-11-12 06:13:54.4, 95.46475, 2.273906, 200, 101.001
2018-11-12 06:14:09.4, 95.56229, 2.27351, 200, 101.0007
2018-11-12 06:14:24.5, 95.77414, 2.27265, 200, 101.0012
2018-11-12 06:14:39.6, 95.74374, 2.272774, 200, 101.0022
2018-11-12 06:14:54.7, 95.92435, 2.272041, 200, 101.0037
2018-11-12 06:15:09.8, 95.96097, 2.271893, 200, 101.0017
2018-11-12 06:15:24.8, 95.9631, 2.271884, 200, 101.001
2018-11-12 06:15:39.9, 96.09732, 2.27134, 200, 101.0024
2018-11-12 06:15:55.0, 96.11722, 2.27126, 200, 101.0017
2018-11-12 06:16:10.1, 96.17227, 2.271036, 200, 101.0024
2018-11-12 06:16:25.1, 96.1727, 2.271035, 200, 100.9998
2018-11-12 06:16:40.2, 96.08932, 2.271372, 200, 101.0012
2018-11-12 06:16:55.3, 96.08835, 2.271376, 200, 101.0046
2018-11-12 06:17:10.3, 96.16599, 2.271062, 200, 101.0059
2018-11-12 06:17:25.4, 96.19394, 2.270949, 200, 101.0081
2018-11-12 06:17:40.5, 96.03458, 2.271594, 200, 101.0068
2018-11-12 06:17:55.6, 96.09872, 2.271334, 200, 101.01
2018-11-12 06:18:10.6, 95.97458, 2.271837, 200, 101.0066
2018-11-12 06:18:25.7, 95.88052, 2.272219, 200, 101.0103
2018-11-12 06:18:40.7, 95.93033, 2.272017, 200, 101.0098
2018-11-12 06:18:55.8, 95.86081, 2.272299, 200, 101.01
2018-11-12 06:19:10.9, 95.90689, 2.272112, 200, 101.0098
2018-11-12 06:19:26.0, 95.80618, 2.27252, 200, 101.0083
2018-11-12 06:19:41.0, 95.84811, 2.27235, 200, 101.0103
2018-11-12 06:19:56.1, 95.74564, 2.272766, 200, 101.01
2018-11-12 06:20:11.2, 95.55679, 2.273532, 200, 101.009
2018-11-12 06:20:26.3, 95.71829, 2.272877, 200, 101.0112
2018-11-12 06:20:41.3, 95.43607, 2.274023, 200, 101.0134
2018-11-12 06:20:56.4, 95.46994, 2.273885, 200, 101.0093
2018-11-12 06:21:11.5, 95.22049, 2.274898, 200, 101.0112
2018-11-12 06:21:26.5, 95.36569, 2.274308, 200, 101.0144
2018-11-12 06:21:41.6, 95.20901, 2.274945, 200, 101.011
2018-11-12 06:21:56.7, 95.07547, 2.275488, 200, 101.0129
2018-11-12 06:22:11.8, 94.95718, 2.275969, 200, 101.0132
2018-11-12 06:22:26.8, 94.81387, 2.276552, 200, 101.0129
2018-11-12 06:22:41.9, 94.78018, 2.27669, 200, 101.0112
2018-11-12 06:22:57.0, 94.66776, 2.277147, 200, 101.0139
2018-11-12 06:23:12.1, 94.56241, 2.277576, 200, 101.0081
2018-11-12 06:23:27.2, 94.71005, 2.276975, 200, 101.012
2018-11-12 06:23:42.2, 94.44211, 2.278067, 200, 101.0088
2018-11-12 06:23:57.3, 94.32669, 2.278537, 200, 101.0103
2018-11-12 06:24:12.4, 94.33176, 2.278516, 200, 101.0115
2018-11-12 06:24:27.5, 94.18686, 2.279107, 200, 101.0093
2018-11-12 06:24:42.5, 94.06461, 2.279606, 200, 101.0112
2018-11-12 06:24:57.6, 94.09036, 2.279501, 200, 101.0059
2018-11-12 06:25:12.7, 93.70462, 2.281076, 200, 101.0088
2018-11-12 06:25:27.8, 93.7988, 2.280692, 200, 101.0115
2018-11-12 06:25:42.8, 93.67355, 2.281204, 200, 101.011
2018-11-12 06:25:57.9, 93.59921, 2.281507, 200, 101.0083
2018-11-12 06:26:13.0, 93.46207, 2.282068, 200, 101.0027
2018-11-12 06:26:28.1, 93.44193, 2.282151, 200, 101.0081
2018-11-12 06:26:43.1, 93.33969, 2.282569, 200, 101.0112
2018-11-12 06:26:58.2, 93.29349, 2.282758, 200, 101.0066
2018-11-12 06:27:13.3, 93.11588, 2.283485, 200, 101.0107
2018-11-12 06:27:28.4, 92.90677, 2.284342, 200, 101.0107
2018-11-12 06:27:43.5, 93.0123, 2.283909, 200, 101.0142
2018-11-12 06:27:58.5, 92.76944, 2.284905, 200, 101.012
2018-11-12 06:28:13.6, 92.7399, 2.285026, 200, 101.0098
2018-11-12 06:28:28.7, 92.61899, 2.285522, 200, 101.0117
2018-11-12 06:28:43.8, 92.47983, 2.286093, 200, 101.0132
2018-11-12 06:28:58.8, 92.44516, 2.286235, 200, 101.0159
2018-11-12 06:29:13.9, 92.47018, 2.286133, 200, 101.0144
2018-11-12 06:29:29.0, 92.21475, 2.287182, 200, 101.0115
2018-11-12 06:29:44.1, 92.1871, 2.287295, 200, 101.0139
2018-11-12 06:29:59.1, 92.0181, 2.28799, 200, 101.0132
2018-11-12 06:30:14.2, 91.93484, 2.288332, 200, 101.0117
2018-11-12 06:30:29.3, 91.85641, 2.288655, 200, 101.0139
2018-11-12 06:30:44.4, 91.65445, 2.289486, 200, 101.0098
2018-11-12 06:30:59.4, 91.67807, 2.289389, 200, 101.0129
2018-11-12 06:31:14.5, 91.56009, 2.289874, 200, 101.0112
2018-11-12 06:31:29.6, 91.58267, 2.289782, 200, 101.0088
2018-11-12 06:31:44.7, 91.24307, 2.291181, 200, 101.0081
2018-11-12 06:31:59.7, 91.31314, 2.290892, 200, 101.0083
2018-11-12 06:32:14.8, 91.28653, 2.291002, 200, 101.009
2018-11-12 06:32:29.9, 90.98648, 2.292239, 200, 101.0063
2018-11-12 06:32:45.0, 90.91537, 2.292533, 200, 101.0068
