species,temperature,fish_id,percent_co2,p50_mean_torr,n50_hill_mean
Blepsias_cirrhosus,12,SS1,0.25,28.77,1.66
Blepsias_cirrhosus,12,SS1,0.5,38.85,1.28
Blepsias_cirrhosus,12,SS1,1,63.57,1.33
Blepsias_cirrhosus,12,SS2,0.25,16.01,1.6
Blepsias_cirrhosus,12,SS2,0.5,30.69,1.09
Blepsias_cirrhosus,12,SS2,1,80.87,1.68
Blepsias_cirrhosus,18,SS1,0.25,53.31,1.7
Blepsias_cirrhosus,18,SS1,0.5,53.56,1.65
Blepsias_cirrhosus,18,SS1,1,73.86,1.65
Blepsias_cirrhosus,18,SS2,0.25,22.99,1.94
Blepsias_cirrhosus,18,SS2,0.5,45.48,2.04
Blepsias_cirrhosus,18,SS2,1,54.06,2.04
Blepsias_cirrhosus,23,SS1,0.25,67.88,1.79
Blepsias_cirrhosus,23,SS1,0.5,78.98,1.94
Blepsias_cirrhosus,23,SS1,1,88.01,1.89
Blepsias_cirrhosus,23,SS2,0.25,41.58,1.86
Blepsias_cirrhosus,23,SS2,0.5,46.82,1.66
Blepsias_cirrhosus,23,SS2,1,58.6,2.02
Blepsias_cirrhosus,28,SS1,0.25,74.66,1.79
Blepsias_cirrhosus,28,SS1,0.5,89.15,1.98
Blepsias_cirrhosus,28,SS1,1,102.2,2.14
Blepsias_cirrhosus,28,SS2,0.25,45.18,1.73
Blepsias_cirrhosus,28,SS2,0.5,50.3,1.63
Blepsias_cirrhosus,28,SS2,1,61.33,1.52
Artedius_fenestralis,12,AF1,0.25,39.12,1.25
Artedius_fenestralis,12,AF1,0.5,39.44,1.05
Artedius_fenestralis,12,AF1,1.5,82.25,1.02
Artedius_fenestralis,12,AF2,0.25,30.93,1.08
Artedius_fenestralis,12,AF2,0.5,44.43,0.99
Artedius_fenestralis,12,AF2,1,60.19,1.06
Artedius_fenestralis,12,AF3,0.25,45.68,1.13
Artedius_fenestralis,12,AF3,0.5,54.67,0.97
Artedius_fenestralis,12,AF3,1.5,108.2,0.92
Artedius_fenestralis,18,AF1,0.25,33.05,1.17
Artedius_fenestralis,18,AF1,0.5,50.11,1.31
Artedius_fenestralis,18,AF2,0.25,48.68,1.17
Artedius_fenestralis,18,AF2,0.5,49.25,1.15
Artedius_fenestralis,18,AF2,1,75.54,1.15
Artedius_fenestralis,18,AF3,0.25,22.5,1.01
Artedius_fenestralis,18,AF3,0.5,42.73,1.06
Artedius_fenestralis,23,AF1,0.25,44.35,1.18
Artedius_fenestralis,23,AF1,0.5,54.89,1.24
Artedius_fenestralis,23,AF1,1.5,79.02,1.26
Artedius_fenestralis,23,AF2,0.25,67.73,1.6
Artedius_fenestralis,23,AF2,0.5,59.93,1.43
Artedius_fenestralis,23,AF2,1,67.93,1.31
Artedius_fenestralis,23,AF3,0.25,66.5,1.19
Artedius_fenestralis,23,AF3,0.5,94.43,1.37
Artedius_fenestralis,23,AF3,1.5,100.99,1.38
Artedius_fenestralis,28,AF1,0.25,62.06,1.3
Artedius_fenestralis,28,AF1,0.5,64.92,1.35
Artedius_fenestralis,28,AF1,1.5,108.21,1.19
Artedius_fenestralis,28,AF2,0.25,46.26,1.36
Artedius_fenestralis,28,AF2,0.5,64.27,1.53
Artedius_fenestralis,28,AF2,1,75.22,1.57
Artedius_fenestralis,28,AF3,0.25,49.84,1.24
Artedius_fenestralis,28,AF3,0.5,65.02,1.19
Artedius_fenestralis,28,AF3,1.5,78.45,1.12
Oligocottus_maculosus,12,OM1,0.25,13.79,1.137641975
Oligocottus_maculosus,12,OM1,0.5,18.64,1.257682121
Oligocottus_maculosus,12,OM1,1,29.46,1.346147085
Oligocottus_maculosus,12,OM2,0.25,30.51,1.113799624
Oligocottus_maculosus,12,OM2,0.5,36.84,1.142657974
Oligocottus_maculosus,12,OM2,1,45.23,1.303209209
Oligocottus_maculosus,12,OM3,0.25,35.13,1.142246364
Oligocottus_maculosus,12,OM3,0.5,47.56,1.189429247
Oligocottus_maculosus,12,OM3,1,61.16,1.306528833
Oligocottus_maculosus,12,OM4,0.25,26.48,1.273222291
Oligocottus_maculosus,12,OM4,1,36.58,1.404644085
Oligocottus_maculosus,12,OM5,0.25,20.67,0.951885123
Oligocottus_maculosus,12,OM5,0.5,25.66,1.066817939
Oligocottus_maculosus,12,OM5,1,32.21,1.280897662
Oligocottus_maculosus,12,OM6,0.25,28.41,1.343133773
Oligocottus_maculosus,12,OM6,0.5,31.85,1.314862209
Oligocottus_maculosus,12,OM6,1,37.72,1.343958757
Oligocottus_maculosus,12,OM7,0.25,26.98,1.186922838
Oligocottus_maculosus,12,OM7,1,34.63,1.199709058
Oligocottus_maculosus,12,OM8,0.25,23.77,1.123964117
Oligocottus_maculosus,12,OM8,0.5,32.06,1.151628209
Oligocottus_maculosus,12,OM8,1,42.06,1.302968344
Oligocottus_maculosus,12,OM4,0.5,30.68,1.276427024
Oligocottus_maculosus,18,OM1,0.25,55.11,1.376111905
Oligocottus_maculosus,18,OM1,0.5,51.53,1.088633554
Oligocottus_maculosus,18,OM1,1,72.96,1.286082244
Oligocottus_maculosus,18,OM3,0.25,56.78,1.328382703
Oligocottus_maculosus,18,OM3,0.5,61.63,1.173605014
Oligocottus_maculosus,18,OM3,1,80.14,1.244914668
Oligocottus_maculosus,18,OM4,0.25,37.83,1.635606131
Oligocottus_maculosus,18,OM4,0.5,36.72,1.475882495
Oligocottus_maculosus,18,OM4,1,51.02,1.641913222
Oligocottus_maculosus,18,OM5,0.25,36.98,1.302689425
Oligocottus_maculosus,18,OM5,0.5,41.45,1.25074333
Oligocottus_maculosus,18,OM5,1,54.01,1.294447324
Oligocottus_maculosus,18,OM6,0.25,42.71,1.296217587
Oligocottus_maculosus,18,OM6,1,41.14,1.269529854
Oligocottus_maculosus,18,OM7,0.25,34.65,1.175386499
Oligocottus_maculosus,18,OM7,0.5,39.07,1.107123587
Oligocottus_maculosus,18,OM7,1,53.35,1.19172517
Oligocottus_maculosus,18,OM8,0.25,38.34,1.247379415
Oligocottus_maculosus,18,OM8,0.5,46.97,1.10975627
Oligocottus_maculosus,18,OM8,1,63.24,1.330044492
Oligocottus_maculosus,23,OM5,0.25,51.18,1.264646876
Oligocottus_maculosus,23,OM5,0.5,59.3,1.360175484
Oligocottus_maculosus,23,OM5,1,64.63,1.311688372
Oligocottus_maculosus,23,OM6,0.25,36.3,1.343678993
Oligocottus_maculosus,23,OM6,0.5,41.93,1.487662297
Oligocottus_maculosus,23,OM6,1,46.43,1.515130074
Oligocottus_maculosus,23,OM7,0.25,39.18,1.254485112
Oligocottus_maculosus,23,OM7,0.5,44.08,1.348043987
Oligocottus_maculosus,23,OM7,1,69.52,1.372323733
Oligocottus_maculosus,23,OM8,0.25,76.97,1.625118054
Oligocottus_maculosus,23,OM8,0.5,84.84,1.752031102
Oligocottus_maculosus,23,OM8,1,88.37,1.584894856
Oligocottus_maculosus,28,OM4,0.25,50.21,1.270981417
Oligocottus_maculosus,28,OM4,0.5,61.21,1.445302587
Oligocottus_maculosus,28,OM4,1,67.08,1.647153272
Oligocottus_maculosus,28,OM5,0.25,63.71,1.505669058
Oligocottus_maculosus,28,OM5,0.5,64.55,1.559928375
