Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-04-28 07:49:51.6, 4.38028, 2.723485, 200, 100.2813
2018-04-28 07:50:06.7, 4.259125, 2.724599, 200, 100.2817
2018-04-28 07:50:21.8, 4.092285, 2.726135, 200, 100.282
2018-04-28 07:50:36.8, 4.016724, 2.726831, 200, 100.2842
2018-04-28 07:50:51.9, 3.967743, 2.727282, 200, 100.2825
2018-04-28 07:51:07.0, 3.808716, 2.728749, 200, 100.2822
2018-04-28 07:51:22.1, 3.736023, 2.72942, 200, 100.2791
2018-04-28 07:51:37.1, 3.717316, 2.729593, 200, 100.2825
2018-04-28 07:51:52.2, 3.888824, 2.72801, 200, 100.2837
2018-04-28 07:52:07.3, 4.267975, 2.724518, 200, 100.2832
2018-04-28 07:52:22.4, 4.47171, 2.722645, 200, 100.2834
2018-04-28 07:52:37.4, 4.704834, 2.720505, 200, 100.2803
2018-04-28 07:52:52.5, 4.895447, 2.718758, 200, 100.2834
2018-04-28 07:53:07.6, 5.014923, 2.717664, 200, 100.2866
2018-04-28 07:53:22.7, 5.059387, 2.717257, 200, 100.282
2018-04-28 07:53:37.8, 5.171082, 2.716236, 200, 100.2866
2018-04-28 07:53:52.8, 5.228699, 2.715709, 200, 100.2874
2018-04-28 07:54:07.9, 5.259705, 2.715426, 200, 100.2861
2018-04-28 07:54:23.0, 5.322601, 2.714851, 200, 100.2852
2018-04-28 07:54:38.1, 5.446136, 2.713724, 200, 100.2864
2018-04-28 07:54:53.1, 5.470276, 2.713503, 200, 100.2849
2018-04-28 07:55:08.2, 5.46286, 2.713571, 200, 100.2881
2018-04-28 07:55:23.3, 5.503784, 2.713197, 200, 100.2876
2018-04-28 07:55:38.4, 5.596893, 2.712348, 200, 100.2847
2018-04-28 07:55:53.4, 5.604462, 2.712279, 200, 100.2827
2018-04-28 07:56:08.5, 5.5625, 2.712662, 200, 100.2888
2018-04-28 07:56:23.5, 5.578064, 2.71252, 200, 100.2854
2018-04-28 07:56:38.6, 5.600769, 2.712313, 200, 100.2842
2018-04-28 07:56:53.6, 5.618683, 2.71215, 200, 100.2866
2018-04-28 07:57:08.7, 5.644287, 2.711916, 200, 100.2859
2018-04-28 07:57:23.8, 5.615173, 2.712182, 200, 100.2866
2018-04-28 07:57:38.9, 5.518616, 2.713062, 200, 100.2859
2018-04-28 07:57:53.9, 5.403046, 2.714117, 200, 100.2861
2018-04-28 07:58:09.0, 5.262909, 2.715397, 200, 100.2891
2018-04-28 07:58:24.0, 5.20108, 2.715962, 200, 100.2856
2018-04-28 07:58:39.1, 5.038483, 2.717449, 200, 100.2844
2018-04-28 07:58:54.2, 4.929718, 2.718444, 200, 100.2827
